Sequence,Time,Acceleration,AngularVelocity,State,AltitudeChange,Impact1,Impact2,Impact3
0,100.0,4806.37,2136.12,0,-368.54,45.42,0.0,11.72
2,300.0,5914.36,3894.2,0,0.06,49.08,0.0,9.77
4,500.0,5942.64,1263.09,0,-0.2,48.11,231.75,14.41
6,700.0,6570.63,1629.48,0,0.06,47.37,91.82,11.72
8,900.0,6952.16,3031.27,0,-0.15,50.79,229.3,15.63
10,1100.0,7345.87,5305.3,0,-0.42,49.57,845.18,31.26
12,1300.0,7301.23,1613.1,0,0.0,49.57,435.41,18.32
14,1500.0,7417.14,1637.64,0,0.0,49.33,218.56,12.45
18,1900.0,8089.05,3664.6,0,0.0,49.57,0.0,7.08
20,2100.0,6925.9,4143.37,0,0.0,48.6,52.26,6.59
22,2300.0,7637.8,6939.57,0,0.06,49.57,304.76,15.87
24,2500.0,4979.52,6761.87,0,0.06,50.06,339.93,14.41
26,2700.0,6129.48,5243.21,0,0.0,50.79,0.0,2.2
28,2900.0,4995.23,4849.7,0,0.0,50.79,0.0,2.2
30,3100.0,8480.61,8273.77,0,0.0,28.33,0.0,2.44
32,3300.0,6970.92,5879.11,0,0.0,0.0,28.57,2.2
34,3500.0,7742.96,11519.82,0,0.06,41.76,153.6,2.69
36,3700.0,8479.06,2709.56,0,0.0,50.79,0.0,0.0
40,4100.0,7312.19,4687.87,0,-0.02,51.77,461.78,5.62
46,4700.0,4441.81,7059.12,0,-0.06,0.0,0.0,0.0
48,4900.0,6286.44,4976.53,0,0.13,0.0,0.0,0.0
50,5100.0,9852.62,7365.44,0,0.13,0.0,0.0,0.0
54,5500.0,18354.24,10766.88,0,0.14,0.0,0.0,0.0
56,5700.0,7052.26,8193.35,0,0.06,0.0,55.43,0.0
58,5900.0,8425.42,7418.21,0,-0.06,19.54,286.45,10.01
60,6100.0,14628.48,15935.08,0,-0.27,0.0,0.0,0.0
64,6500.0,11164.36,7381.84,0,0.28,0.0,0.0,0.0
66,6700.0,11729.57,8994.62,0,0.2,0.0,0.0,0.0
68,6900.0,11836.75,1638.97,0,-0.06,0.0,0.0,0.0
70,7100.0,3252.26,16423.51,0,0.0,0.0,391.94,10.01
72,7300.0,8728.33,17281.38,0,0.42,0.0,149.94,0.0
74,7500.0,5522.14,7620.31,0,-0.06,11.72,0.0,3.66
76,7700.0,16277.88,6541.42,0,0.0,0.0,0.0,0.0
78,7900.0,5972.1,6607.18,0,0.61,0.0,267.16,6.59
80,8100.0,7824.36,15722.26,0,-0.06,0.0,0.0,0.0
82,8300.0,20257.63,10066.44,0,0.2,0.0,0.0,0.0
84,8500.0,9080.49,7791.19,0,-0.06,0.0,1000.0,21.98
86,8700.0,6260.0,9214.86,0,0.15,0.0,164.1,9.28
88,8900.0,15939.24,8590.45,0,-0.22,0.0,128.94,0.0
90,9100.0,8788.31,10813.88,0,-0.15,0.0,490.84,11.23
92,9300.0,10876.15,4476.67,0,0.0,0.0,0.0,0.0
94,9500.0,13292.64,9544.96,0,-0.44,11.72,602.2,7.81
96,9700.0,13975.64,7152.34,0,0.2,0.0,0.0,0.0
98,9900.0,7241.68,16941.48,1,-0.2,0.0,972.65,14.16
100,10100.0,30902.78,31007.64,1,-0.07,49.33,1000.0,57.14
102,10300.0,31732.87,8031.25,1,-0.09,62.27,277.41,0.0
104,10500.0,24330.31,6744.59,1,0.0,0.0,527.96,9.04
106,10700.0,18803.37,6052.15,1,-0.11,42.49,44.69,0.0
108,10900.0,17837.61,860.0,1,-0.35,0.0,42.98,0.0
112,11300.0,14291.13,3226.98,1,0.0,0.0,38.34,0.0
114,11500.0,15528.5,2168.75,1,0.28,0.0,41.51,0.0
116,11700.0,17786.78,1949.01,1,0.06,0.0,40.05,0.0
118,11900.0,17970.54,3389.22,1,0.06,0.0,46.4,0.0
120,12100.0,16728.59,2332.65,0,0.22,0.0,33.94,0.0
122,12300.0,14630.69,3122.73,0,0.09,0.0,34.43,0.0
124,12500.0,15415.14,2672.75,0,0.0,0.0,34.92,0.0
126,12700.0,14853.25,2227.89,0,-0.16,0.0,34.68,0.0
128,12900.0,15242.25,2205.48,0,0.09,0.0,33.7,0.0
130,13100.0,15499.86,2234.86,0,-0.42,0.0,34.43,0.0
132,13300.0,15513.78,2333.9,0,-0.22,0.0,35.16,0.0
134,13500.0,15369.05,2270.02,0,0.0,0.0,35.16,0.0
136,13700.0,15595.28,2164.46,0,-0.22,0.0,34.92,0.0
138,13900.0,15771.38,2138.91,0,0.0,0.0,46.64,0.0
140,14100.0,15789.79,2473.51,0,0.0,0.0,35.41,0.0
144,14500.0,15610.06,2168.77,0,0.0,0.0,3.91,0.0
146,14700.0,15944.27,2312.26,0,0.0,0.0,27.59,0.0
148,14900.0,15950.27,2272.56,0,0.28,0.0,21.98,0.0
150,15100.0,15619.88,2356.44,0,0.0,0.0,0.0,0.0
152,15300.0,15631.2,2099.92,0,0.22,0.0,25.89,0.0
154,15500.0,15881.28,2146.13,0,0.0,0.0,35.16,0.0
158,15900.0,15827.96,2410.15,0,0.0,0.0,35.16,0.0
160,16100.0,15506.34,2376.99,0,0.0,0.0,32.23,0.0
162,16300.0,15599.03,2313.93,0,0.22,0.0,35.16,0.0
164,16500.0,15589.18,2210.81,0,0.0,0.0,34.19,0.0
