Sequence,Time,Acceleration,AngularVelocity,State,AltitudeChange,Impact1,Impact2,Impact3
6,700.0,3099.99,9498.99,0,0.0,0.0,32.97,6.35
8,900.0,5464.45,8132.48,0,0.06,0.0,29.79,5.62
10,1100.0,10169.66,8001.01,0,0.22,0.0,34.68,6.11
12,1300.0,10350.48,5294.82,0,0.0,0.0,35.65,4.15
14,1500.0,9804.43,2673.57,0,-0.42,0.0,38.58,7.08
16,1700.0,11081.49,1855.84,0,-0.13,0.0,39.07,6.11
18,1900.0,11225.75,1592.9,0,0.06,0.0,31.26,3.91
20,2100.0,9988.51,1082.27,0,0.06,0.0,35.9,4.15
22,2300.0,8969.6,1435.32,0,0.07,0.0,31.75,5.13
24,2500.0,9691.92,1169.87,0,0.0,0.0,37.36,4.15
26,2700.0,10032.45,882.4,0,0.0,0.0,30.77,3.17
28,2900.0,9248.13,2417.54,0,-0.22,0.0,35.41,6.59
32,3300.0,9312.57,595.52,0,0.13,0.0,31.5,3.66
34,3500.0,7839.06,6233.84,0,-0.2,0.0,36.63,2.69
38,3900.0,12820.15,7517.11,0,0.06,0.0,35.16,2.2
40,4100.0,9533.83,1909.55,0,-0.1,0.0,31.5,3.17
42,4300.0,14458.81,4928.34,0,-0.23,0.0,39.8,0.73
44,4500.0,9161.24,1340.2,0,0.38,0.0,35.16,4.15
46,4700.0,15825.74,9484.82,0,0.13,0.0,34.19,3.66
48,4900.0,11514.97,5875.62,0,-0.12,0.0,34.92,0.98
52,5300.0,8780.82,4774.2,0,0.2,0.0,36.39,0.0
54,5500.0,16960.61,3302.79,0,0.14,0.0,32.72,3.91
56,5700.0,8213.45,7175.05,0,0.15,0.0,35.16,0.0
58,5900.0,12234.36,11250.99,0,0.11,0.0,32.97,4.15
66,6700.0,9246.32,6235.5,0,0.32,0.0,36.14,0.0
68,6900.0,8434.6,2537.22,0,-0.11,0.0,23.44,3.17
70,7100.0,13738.39,3474.85,0,0.15,0.0,34.68,1.71
72,7300.0,10947.49,3586.28,0,0.0,0.0,37.85,0.24
74,7500.0,16639.21,3642.12,0,0.15,0.0,36.87,0.73
76,7700.0,8758.19,2626.39,0,-0.06,0.0,35.16,0.0
78,7900.0,6529.06,24074.33,0,-0.06,0.0,36.87,5.13
80,8100.0,7004.2,15509.96,0,0.42,0.0,36.39,0.0
82,8300.0,5561.37,8236.19,0,0.37,0.0,34.68,2.93
84,8500.0,11669.02,6697.91,0,-0.28,0.0,34.43,1.71
86,8700.0,10717.74,8007.88,0,0.2,0.0,35.9,0.73
90,9100.0,11785.17,6880.09,0,0.11,0.0,31.26,0.0
92,9300.0,6748.4,6801.26,0,-0.06,0.0,27.84,1.47
94,9500.0,11388.89,3997.5,0,-0.28,0.0,32.72,0.24
96,9700.0,12405.47,6402.0,0,-0.06,0.0,35.16,0.0
98,9900.0,7456.16,5725.89,0,0.15,0.0,33.46,0.0
100,10100.0,12160.66,8765.89,0,0.0,31.26,35.16,0.73
102,10300.0,14765.24,5672.07,0,-0.06,0.0,36.39,0.0
104,10500.0,9790.46,14746.25,1,0.13,0.0,32.97,5.62
106,10700.0,16313.26,7635.73,1,-0.06,0.0,35.16,0.0
108,10900.0,10094.49,11472.71,1,-0.22,0.0,34.43,2.69
110,11100.0,12436.5,35012.2,1,-0.28,0.0,30.77,8.55
114,11500.0,24915.62,7210.4,1,-0.22,62.52,4.15,0.0
116,11700.0,24685.25,1053.8,1,0.0,50.79,36.87,0.0
120,12100.0,21324.28,2041.81,1,-0.09,0.0,24.91,0.0
122,12300.0,20342.68,3212.07,1,-0.2,0.0,25.64,0.0
124,12500.0,17085.02,7706.84,1,-0.16,4.4,30.28,0.0
126,12700.0,15847.83,4714.92,1,-0.41,0.0,35.16,0.0
128,12900.0,16231.74,1366.4,1,-0.16,0.0,35.9,0.0
130,13100.0,16641.6,2374.04,1,0.06,11.48,35.16,0.0
132,13300.0,16628.98,688.53,0,-0.2,2.2,35.9,0.0
134,13500.0,16606.6,357.56,0,-0.2,0.0,33.94,0.0
136,13700.0,16243.16,628.63,0,0.0,0.0,33.7,0.0
138,13900.0,16239.39,382.42,0,-0.13,0.0,35.16,0.0
140,14100.0,16342.34,256.26,0,0.0,0.0,35.65,0.0
142,14300.0,16266.12,261.25,0,0.09,0.0,34.19,0.0
144,14500.0,16136.99,490.73,0,0.0,0.0,35.9,0.0
146,14700.0,16466.56,421.28,0,0.06,0.0,34.68,0.0
148,14900.0,16436.8,331.77,0,0.0,0.0,35.16,0.0
150,15100.0,16280.34,299.42,0,0.06,0.0,35.9,0.0
152,15300.0,16954.61,1056.0,0,-0.2,31.99,22.71,0.0
154,15500.0,17052.84,999.34,0,-0.42,0.0,31.26,0.0
156,15700.0,17371.04,306.92,0,0.0,0.0,33.94,0.0
160,16100.0,17377.66,487.12,0,0.0,0.0,38.34,0.0
162,16300.0,17358.27,465.31,0,0.22,0.0,34.43,0.0
164,16500.0,17550.84,392.72,0,0.06,0.0,35.16,0.0
166,16700.0,17300.11,431.7,0,0.06,0.0,35.16,0.0
168,16900.0,17225.15,347.72,0,0.0,0.0,34.92,0.0
170,17100.0,17424.78,432.14,0,-0.16,0.0,33.94,0.0
174,17500.0,17473.34,350.8,0,0.22,0.0,34.92,0.0
