Sequence,Time,Acceleration,AngularVelocity,State,AltitudeChange,Impact1,Impact2,Impact3
114,11500.0,20473.69,9159.14,1,0.2,31.99,0.0,0.0
116,11700.0,21925.44,4234.92,1,0.09,55.43,26.13,0.0
118,11900.0,20698.34,4091.6,1,0.0,0.0,24.18,0.0
120,12100.0,18491.07,3629.98,1,0.0,0.0,26.86,1.22
122,12300.0,16279.72,10318.88,1,0.2,0.0,43.47,6.11
124,12500.0,21472.35,3881.58,1,-0.06,77.41,47.37,1.95
128,12900.0,21416.62,3016.44,1,0.22,0.0,34.68,0.0
130,13100.0,21193.54,3204.99,1,0.22,0.0,35.16,0.0
132,13300.0,21063.2,3020.3,1,0.16,0.0,35.16,0.0
134,13500.0,21452.14,3291.59,0,0.06,0.0,35.41,0.0
136,13700.0,21742.42,3938.43,0,-0.09,0.0,31.26,0.0
138,13900.0,22350.27,2308.74,0,0.42,0.0,31.26,0.0
142,14300.0,20272.76,8095.24,0,0.0,27.11,35.41,0.0
146,14700.0,22385.77,2987.21,0,0.38,0.0,35.16,2.69
148,14900.0,22615.41,3093.93,0,0.15,0.0,34.43,1.71
150,15100.0,22859.22,3165.66,0,0.11,0.0,32.23,0.0
152,15300.0,22710.79,3319.2,0,-0.06,0.0,32.72,0.0
154,15500.0,22835.8,3238.77,0,-0.13,0.0,32.23,0.49
156,15700.0,22714.22,3165.57,0,0.35,0.0,34.19,1.71
158,15900.0,23057.05,3519.18,0,0.42,0.0,32.72,2.69
160,16100.0,22877.76,3294.75,0,0.2,0.0,34.19,2.44
162,16300.0,22744.72,3739.65,0,0.22,0.0,34.68,0.73
164,16500.0,22624.14,3092.33,0,0.35,0.0,32.97,0.0
166,16700.0,22729.96,3245.35,0,0.21,0.0,35.16,1.22
168,16900.0,22516.6,3253.82,0,-0.02,0.0,34.43,1.22
170,17100.0,22638.45,3373.1,0,0.33,0.0,35.41,1.95
172,17300.0,22621.78,2561.98,0,0.22,0.0,33.46,0.0
174,17500.0,22332.82,4138.02,0,0.0,0.0,37.85,1.71
176,17700.0,23326.34,3310.49,0,0.11,0.0,34.92,2.44
178,17900.0,23683.87,3476.52,0,0.17,0.0,33.7,3.42
180,18100.0,23612.31,3338.48,0,-0.06,0.0,33.94,1.22
182,18300.0,23397.37,3240.43,0,0.0,0.0,32.97,2.2
184,18500.0,23510.6,3199.68,0,0.0,0.0,33.46,2.44
