Sequence,Time,Acceleration,AngularVelocity,State,AltitudeChange,Impact1,Impact2,Impact3
0,100.0,11043.37,2885.52,0,-390.93,0.0,21.73,5.62
2,300.0,11641.62,6607.61,0,0.22,0.0,33.94,3.91
4,500.0,11140.41,3534.45,0,0.0,0.0,35.65,1.95
6,700.0,11022.43,3809.16,0,-0.05,0.0,33.7,1.47
8,900.0,11597.35,18088.87,0,-0.22,0.0,30.53,1.22
10,1100.0,8754.92,6993.44,0,-0.17,0.0,28.33,0.73
12,1300.0,6216.12,6770.51,0,-0.22,0.0,38.83,1.22
14,1500.0,5039.23,2905.61,0,0.0,0.0,32.23,0.49
16,1700.0,5782.66,2826.07,0,0.0,0.0,33.94,0.0
18,1900.0,5623.33,3080.55,0,0.22,0.0,28.57,0.49
20,2100.0,5981.38,3064.23,0,-0.22,0.0,23.44,0.0
22,2300.0,7005.02,2195.96,0,0.17,0.0,37.36,3.17
24,2500.0,6404.08,4552.55,0,0.0,0.0,39.07,2.69
26,2700.0,7272.52,5407.94,0,-0.17,0.0,31.75,0.0
28,2900.0,6245.99,3482.25,0,0.17,0.0,31.26,0.0
30,3100.0,7572.58,3361.86,0,-0.06,0.0,34.19,0.0
32,3300.0,6946.85,3268.65,0,0.06,0.0,35.16,0.0
36,3700.0,7828.9,3154.04,0,0.0,0.0,31.26,0.0
38,3900.0,8712.47,2089.19,0,0.22,0.0,27.84,0.0
40,4100.0,9345.86,3134.45,0,-0.09,0.0,33.7,0.0
42,4300.0,8401.04,5606.0,0,0.22,0.0,31.26,0.0
46,4700.0,9461.27,11118.71,0,-0.06,0.0,28.82,0.0
48,4900.0,12206.4,6563.53,0,-0.09,0.0,34.43,0.0
50,5100.0,8081.34,3621.25,0,0.0,0.0,31.5,0.0
54,5500.0,8477.91,7789.77,0,0.11,0.0,34.43,0.0
56,5700.0,10247.82,4423.57,0,-0.06,0.0,31.99,0.0
58,5900.0,8788.34,9362.18,0,0.33,0.0,27.59,0.0
60,6100.0,6018.71,9045.72,0,0.41,0.0,30.04,0.0
62,6300.0,7163.8,12647.77,0,-0.22,0.0,37.85,0.0
64,6500.0,8681.68,11735.57,0,0.15,0.0,32.23,3.42
66,6700.0,8469.45,6970.08,0,0.15,0.0,39.32,0.0
68,6900.0,14310.76,9450.18,0,0.15,0.0,35.16,0.0
70,7100.0,10078.75,2197.49,0,-0.43,0.0,31.26,0.0
72,7300.0,11444.59,3646.57,0,0.2,0.0,32.72,0.0
74,7500.0,22912.18,9469.34,0,0.0,0.0,36.39,0.0
76,7700.0,7615.36,10788.99,0,0.14,0.0,33.7,0.0
78,7900.0,10972.74,8698.67,0,0.0,0.0,27.59,0.73
80,8100.0,16098.69,7132.83,0,0.0,0.0,31.5,0.0
82,8300.0,12984.77,11869.37,0,0.13,0.0,31.99,0.0
84,8500.0,7847.15,17659.59,0,-0.06,10.26,33.46,0.0
86,8700.0,8596.76,22158.79,0,-0.2,0.0,31.26,2.44
88,8900.0,9340.1,6078.09,0,0.07,0.0,35.9,0.0
90,9100.0,8219.47,24606.27,0,-0.06,15.63,33.46,0.0
92,9300.0,12382.47,7444.0,0,0.0,0.0,36.14,3.66
94,9500.0,7982.46,13207.63,0,0.2,0.0,29.79,3.66
96,9700.0,6552.35,10446.61,0,0.0,0.0,31.75,0.0
98,9900.0,6198.06,9646.28,0,-0.17,0.0,29.06,0.0
100,10100.0,10723.94,14716.54,0,0.0,0.0,35.16,0.0
102,10300.0,16259.81,1423.2,0,-0.06,2.2,25.64,2.2
104,10500.0,6354.82,10112.98,1,-0.22,0.0,19.29,0.0
106,10700.0,27984.29,9934.52,1,0.0,0.0,31.75,0.0
108,10900.0,10670.28,24643.91,1,-0.06,0.0,38.34,0.0
110,11100.0,11452.56,18042.28,1,0.0,17.34,37.85,3.91
112,11300.0,27324.74,37012.48,1,-0.2,5.86,230.77,0.0
