Sequence,Time,Acceleration,AngularVelocity,State,AltitudeChange,Impact1,Impact2,Impact3
0,100.0,4459.78,4867.39,0,-372.31,0.0,10.74,4.15
2,300.0,4625.3,3908.47,0,0.22,0.0,24.66,4.15
5,600.0,4675.51,3695.74,0,0.0,0.0,21.25,3.66
7,800.0,4659.89,4061.57,0,-0.02,0.0,24.66,3.17
9,1000.0,4560.14,4066.64,0,0.0,0.0,25.64,3.42
11,1200.0,4662.7,4251.1,0,0.22,0.0,27.35,3.91
14,1500.0,4374.85,3864.13,0,0.0,0.0,25.89,2.44
16,1700.0,4346.86,3983.13,0,0.0,0.0,26.86,3.66
18,1900.0,4375.41,4318.27,0,-0.22,0.0,26.13,3.17
20,2100.0,3925.55,5315.3,0,0.0,0.0,23.93,1.71
22,2300.0,3488.91,8020.09,0,0.0,0.0,27.35,2.2
26,2700.0,2648.08,5758.19,0,0.0,0.0,28.08,3.17
28,2900.0,3333.52,1848.98,0,0.0,0.0,26.62,2.2
30,3100.0,5437.69,14299.95,0,0.15,0.0,26.62,2.69
32,3300.0,3381.6,9072.76,0,-0.06,0.0,31.26,0.24
34,3500.0,3319.72,13350.67,0,0.0,0.0,26.13,0.0
42,4300.0,3020.23,3596.02,0,-0.28,0.0,31.01,0.0
44,4500.0,6338.28,8282.58,0,-0.06,0.0,31.26,1.22
46,4700.0,4462.38,4464.39,0,0.0,0.0,27.35,0.24
48,4900.0,12229.75,9361.08,0,-0.06,0.0,27.59,0.0
50,5100.0,8989.28,5367.77,0,-0.27,0.0,28.08,0.49
52,5300.0,4355.5,16994.56,0,0.07,80.34,32.72,0.0
56,5700.0,5318.88,6310.37,0,0.0,49.57,30.04,0.0
58,5900.0,11240.57,8893.76,0,-0.06,34.19,29.55,0.0
60,6100.0,9254.21,3119.51,0,-0.09,0.0,27.59,0.24
62,6300.0,2048.02,18766.36,0,-0.13,31.26,31.75,0.0
64,6500.0,3841.81,7093.52,0,0.15,0.0,31.26,0.0
66,6700.0,3451.59,7169.53,0,-0.22,0.0,28.82,0.0
68,6900.0,6447.86,13417.88,0,0.15,0.0,27.59,0.0
70,7100.0,2779.1,7919.99,0,0.0,0.0,27.59,0.0
72,7300.0,12608.85,10264.99,0,0.0,0.0,26.86,0.0
74,7500.0,3523.49,6942.77,0,0.0,0.0,27.59,0.0
76,7700.0,4161.21,5306.79,0,0.0,0.0,33.46,0.0
78,7900.0,7049.66,6587.45,0,0.15,0.0,31.26,0.0
80,8100.0,2275.5,23309.7,0,0.22,0.0,30.04,0.0
82,8300.0,5637.49,9573.28,0,-0.22,0.0,29.06,0.0
84,8500.0,4835.73,5182.58,0,0.22,0.0,31.75,0.0
86,8700.0,4905.61,9801.65,0,-0.22,0.0,31.75,0.0
90,9100.0,5497.74,17090.31,0,0.0,0.0,26.62,0.0
92,9300.0,6971.97,7599.01,0,0.0,0.0,27.11,0.0
94,9500.0,9590.16,8761.38,0,0.0,0.0,31.99,0.0
96,9700.0,5470.77,1695.96,0,-0.01,0.0,31.01,0.0
98,9900.0,3971.41,10761.69,0,0.13,0.0,30.04,0.0
100,10100.0,9561.92,7229.12,0,0.16,0.0,31.26,0.0
102,10300.0,6226.38,5771.46,0,0.15,0.0,29.79,0.0
104,10500.0,2796.11,15075.02,0,0.15,0.0,27.35,0.0
106,10700.0,7400.73,6992.12,0,-0.06,0.0,31.26,0.0
110,11100.0,6484.72,13705.94,0,-0.06,0.0,21.98,0.0
114,11500.0,5694.22,6099.66,0,0.61,0.0,0.0,0.0
116,11700.0,13959.72,12641.47,0,-0.22,0.0,26.86,0.0
118,11900.0,7795.82,8148.1,0,0.22,0.0,38.34,1.71
120,12100.0,3293.05,14233.77,1,0.13,2.69,27.35,3.91
122,12300.0,14236.68,8875.45,1,0.22,0.0,29.55,0.0
124,12500.0,12559.61,17746.47,1,-0.42,0.0,28.33,0.0
126,12700.0,29730.71,22614.79,1,0.43,59.83,0.0,0.0
128,12900.0,18092.83,12073.46,1,-0.13,77.41,118.93,4.88
130,13100.0,18435.6,4576.22,1,0.0,0.0,320.15,6.11
132,13300.0,16936.37,8896.7,1,0.06,47.86,423.69,16.12
134,13500.0,12150.14,7307.33,1,0.1,24.66,0.0,0.0
136,13700.0,11852.84,4047.94,1,-0.12,0.0,274.97,4.15
138,13900.0,12825.06,1688.42,1,-0.16,0.0,593.16,12.7
140,14100.0,11238.12,5045.02,1,0.13,0.0,134.31,3.17
142,14300.0,12010.3,4185.17,1,0.0,0.0,0.0,0.0
144,14500.0,11518.0,3989.88,0,0.0,0.0,39.56,0.0
146,14700.0,10829.43,3096.83,0,0.0,0.0,347.99,5.62
148,14900.0,11226.62,4188.18,0,-0.22,0.0,793.65,18.8
150,15100.0,10266.17,3956.54,0,0.0,0.0,77.9,0.0
152,15300.0,9950.78,3923.5,0,-0.09,0.0,150.18,1.47
154,15500.0,10113.67,3810.03,0,0.06,0.0,124.79,1.22
156,15700.0,10062.1,3762.47,0,0.06,0.0,194.87,3.42
158,15900.0,10305.17,3765.66,0,0.06,0.0,7.57,0.0
160,16100.0,10647.35,3988.43,0,0.0,0.0,0.0,0.0
162,16300.0,10059.22,3781.2,0,0.08,0.0,10.26,0.0
164,16500.0,10338.51,3710.11,0,0.0,0.0,31.75,0.0
166,16700.0,10487.86,3732.05,0,0.06,0.0,40.54,0.0
168,16900.0,10232.4,3906.18,0,0.22,0.0,0.0,0.0
170,17100.0,10111.34,3796.82,0,0.08,0.0,0.0,0.0
