Sequence,Time,Acceleration,AngularVelocity,State,AltitudeChange,Impact1,Impact2,Impact3
0,100.0,4625.41,1392.96,0,-420.41,0.0,5.37,0.0
3,400.0,5188.53,2040.72,0,0.0,0.0,22.95,0.0
5,600.0,3898.78,1411.22,0,-0.28,0.0,20.02,0.0
8,900.0,7238.57,3101.73,0,0.0,0.0,21.73,0.0
10,1100.0,5573.53,4692.04,0,0.42,0.0,25.4,0.0
12,1300.0,6983.34,3379.41,0,0.22,0.0,17.34,0.0
14,1500.0,5106.12,4392.26,0,0.0,0.0,21.98,0.0
16,1700.0,5085.25,3798.85,0,0.15,0.0,16.36,0.0
18,1900.0,4470.69,4143.61,0,-0.07,0.0,22.22,0.0
20,2100.0,3935.7,4821.72,0,0.0,0.0,21.73,0.0
22,2300.0,3632.95,9344.56,0,0.0,0.0,21.98,0.0
24,2500.0,2589.09,7982.5,0,0.15,0.0,21.73,0.0
26,2700.0,2481.44,6536.14,0,0.0,0.0,22.95,0.0
28,2900.0,3524.86,5957.9,0,-0.09,0.0,21.73,0.0
30,3100.0,6934.07,9220.57,0,-0.22,0.0,24.18,0.0
34,3500.0,4423.74,18175.6,0,0.2,0.0,23.93,0.0
38,3900.0,5420.12,3581.48,0,-0.06,0.0,26.62,0.0
40,4100.0,2147.75,15212.22,0,-0.09,0.0,24.18,0.0
42,4300.0,9257.89,10668.76,0,0.06,0.0,27.35,0.0
44,4500.0,4326.7,3525.06,0,0.08,0.0,23.44,0.0
46,4700.0,15350.6,9862.15,0,0.15,0.0,23.93,0.0
48,4900.0,6316.82,5375.51,0,0.2,0.0,26.86,0.0
50,5100.0,5128.83,6201.57,0,-0.09,0.0,23.2,0.0
52,5300.0,8021.74,9842.64,0,-0.13,0.0,21.98,0.0
54,5500.0,3913.02,4201.05,0,-0.22,0.0,20.27,0.0
56,5700.0,6290.73,6998.34,0,0.11,0.0,25.64,0.0
58,5900.0,6273.92,7002.44,0,-0.06,0.0,27.35,0.0
60,6100.0,6124.68,2993.31,0,-0.06,0.0,27.11,0.0
62,6300.0,5810.69,4160.33,0,0.2,0.0,28.08,0.0
64,6500.0,5868.32,7941.11,0,0.1,0.0,22.71,0.0
66,6700.0,2866.87,9037.65,0,0.22,0.0,23.44,0.0
68,6900.0,6311.56,15602.91,0,0.22,0.0,23.69,0.0
70,7100.0,2321.07,10317.29,0,-0.22,0.0,28.08,0.0
72,7300.0,5624.51,10051.83,0,-0.06,0.0,26.13,0.0
74,7500.0,3750.72,3021.46,0,0.35,0.0,26.13,0.0
