Sequence,Time,Acceleration,AngularVelocity,State,AltitudeChange,Impact1,Impact2,Impact3
76,7700.0,7534.81,7343.15,0,-0.31,0.0,27.35,0.0
78,7900.0,5174.56,7443.91,0,0.42,0.0,25.4,0.0
80,8100.0,4101.76,5513.71,0,-0.22,0.0,28.33,0.0
82,8300.0,5208.38,2485.02,0,-0.06,0.0,26.13,0.0
84,8500.0,7217.96,6712.18,0,0.26,0.0,26.62,0.0
86,8700.0,7873.53,8034.58,0,0.42,0.0,23.69,0.0
88,8900.0,10269.25,2332.44,0,0.42,0.0,24.66,0.0
92,9300.0,7979.97,9600.73,0,0.15,0.0,23.44,0.0
94,9500.0,3748.95,4772.67,0,0.09,0.0,28.57,0.0
96,9700.0,5390.52,3951.18,1,0.26,0.0,34.19,0.0
98,9900.0,17134.36,5839.85,1,-0.28,0.0,25.64,0.0
100,10100.0,8029.26,15111.67,1,0.35,0.0,23.69,0.0
102,10300.0,11258.63,26017.91,1,-0.07,0.0,22.71,0.0
104,10500.0,29658.95,25174.07,1,-0.21,0.0,28.57,19.29
106,10700.0,26014.86,7178.22,1,0.0,0.0,0.0,0.0
108,10900.0,25954.2,2968.24,1,0.22,92.06,144.57,0.0
110,11100.0,26315.33,2686.52,1,0.0,1.71,46.89,0.0
112,11300.0,25472.94,5876.44,1,0.0,0.0,42.49,0.0
114,11500.0,22240.28,7379.45,1,0.22,0.0,86.2,0.0
116,11700.0,17448.26,10207.94,1,-0.06,8.55,21.0,0.0
118,11900.0,23221.8,8977.41,1,0.0,0.0,28.08,0.0
122,12300.0,23516.69,861.33,1,0.06,0.0,28.82,0.0
124,12500.0,22468.27,7895.46,1,0.22,0.0,26.86,0.0
126,12700.0,22241.17,9575.31,1,-0.06,0.0,25.15,0.24
130,13100.0,20324.58,5070.51,0,0.0,0.0,26.86,0.0
134,13500.0,20343.97,3376.19,0,-0.1,0.0,27.11,0.0
136,13700.0,20078.0,3073.0,0,0.22,0.0,27.35,0.0
138,13900.0,19633.92,2746.07,0,0.15,0.0,26.62,0.0
140,14100.0,20174.85,2576.98,0,0.11,0.0,28.57,0.0
142,14300.0,20255.46,2767.84,0,-0.06,0.0,28.08,0.0
144,14500.0,20139.97,2694.28,0,-0.2,0.0,28.82,0.0
146,14700.0,20301.15,2760.75,0,-0.09,0.0,27.59,0.0
148,14900.0,20324.09,3000.31,0,0.0,0.0,27.84,0.0
150,15100.0,20129.91,2970.43,0,0.0,0.0,30.53,0.0
152,15300.0,20326.6,2598.33,0,-0.06,0.0,27.84,0.0
154,15500.0,20374.79,2706.86,0,-0.06,0.0,29.06,0.0
156,15700.0,20185.27,2956.23,0,0.15,0.0,28.57,0.0
158,15900.0,20253.27,2750.82,0,-0.06,0.0,28.82,0.0
160,16100.0,20127.39,2876.31,0,-0.05,0.0,28.57,0.0
162,16300.0,20138.85,2315.98,0,0.22,0.0,27.59,0.0
164,16500.0,20496.47,2570.19,0,0.13,0.0,30.77,0.0
166,16700.0,20595.18,2879.71,0,-0.06,0.0,29.55,0.0
168,16900.0,20576.75,3043.7,0,0.15,0.0,30.77,0.0
170,17100.0,20414.69,2611.97,0,-0.11,0.0,27.84,0.0
172,17300.0,20556.65,2758.15,0,-0.06,0.0,31.01,0.0
