Sequence,Time,Acceleration,AngularVelocity,State,AltitudeChange,Impact1,Impact2,Impact3
0,100.0,4984.9,8888.76,0,-401.61,0.0,24.18,0.0
2,300.0,1082.05,8245.93,0,0.0,0.0,41.27,0.0
4,500.0,1504.72,10470.82,0,-0.06,0.0,35.65,0.0
6,700.0,2694.84,6431.85,0,-0.08,0.0,20.27,0.0
8,900.0,3281.14,4248.8,0,0.0,0.0,36.87,0.0
10,1100.0,1836.96,1616.88,0,0.0,0.0,34.68,0.0
12,1300.0,3727.17,2149.46,0,0.0,0.0,31.26,0.0
14,1500.0,3432.84,2820.75,0,0.0,0.0,35.16,0.0
16,1700.0,2524.63,2941.09,0,0.0,0.0,34.68,0.0
18,1900.0,1556.28,4557.34,0,0.0,0.0,35.16,0.0
20,2100.0,765.7,5558.51,0,0.22,0.0,33.94,0.0
22,2300.0,1225.26,6423.98,0,-0.06,0.0,34.43,0.0
24,2500.0,1652.86,3187.07,0,0.0,0.0,31.5,0.0
26,2700.0,2921.78,3863.67,0,0.0,0.0,34.92,0.0
28,2900.0,3318.22,7449.74,0,-0.22,0.0,33.46,0.0
30,3100.0,1419.05,11396.23,0,0.22,0.0,28.82,0.0
32,3300.0,2742.43,10836.9,0,-0.06,0.0,31.5,0.0
36,3700.0,4765.94,7197.79,0,0.2,0.0,33.7,0.0
38,3900.0,680.59,5645.23,0,0.0,24.42,35.16,0.0
42,4300.0,1388.58,5516.78,0,0.39,0.0,30.77,0.0
46,4700.0,4878.62,4223.26,0,0.0,0.0,33.46,0.0
48,4900.0,7295.66,5926.12,0,0.0,0.0,30.04,0.0
50,5100.0,2105.69,4579.02,0,-0.38,0.0,33.7,0.0
52,5300.0,6293.15,3942.78,0,-0.02,0.0,32.72,0.0
54,5500.0,3463.23,10121.08,0,0.33,0.0,27.35,0.0
58,5900.0,5696.48,8626.54,0,-0.22,0.0,31.5,0.0
62,6300.0,2088.67,8819.52,0,-0.06,0.0,34.68,0.0
64,6500.0,7838.18,4830.29,0,0.42,0.0,31.99,0.0
66,6700.0,1713.5,4204.4,0,-0.1,0.0,35.16,0.0
68,6900.0,6595.46,7872.15,0,0.0,0.0,32.48,0.0
70,7100.0,3304.53,3446.72,0,0.0,0.0,30.53,0.0
74,7500.0,1800.67,12577.31,0,0.2,0.0,30.53,0.0
76,7700.0,3415.74,15059.21,0,0.06,0.0,33.21,0.0
78,7900.0,1090.27,10577.85,0,0.15,0.0,33.21,0.0
80,8100.0,2561.27,7862.58,0,0.33,0.0,37.36,0.0
82,8300.0,8198.88,4621.2,0,0.0,0.0,35.16,0.0
84,8500.0,1520.44,6277.37,0,0.0,0.0,34.19,0.0
86,8700.0,6794.16,5623.65,0,0.22,0.0,31.26,0.0
90,9100.0,6187.81,10258.54,0,0.35,0.0,33.46,0.0
92,9300.0,11244.24,7558.41,0,-0.06,0.0,31.75,0.0
94,9500.0,6513.02,7065.19,0,0.0,0.0,31.26,0.0
96,9700.0,6304.83,14936.75,0,0.0,0.0,31.75,0.0
98,9900.0,5903.42,9834.69,0,0.22,0.0,30.53,0.0
100,10100.0,4756.4,3562.02,1,0.0,0.0,33.94,0.0
102,10300.0,16476.58,8884.48,1,0.2,0.0,35.9,0.0
