Sequence,Time,Acceleration,AngularVelocity,State,AltitudeChange,Impact1,Impact2,Impact3
0,100.0,14706.91,7389.1,0,-396.29,0.0,127.72,3.66
2,300.0,14182.95,6876.44,0,0.0,0.0,36.14,0.73
4,500.0,14599.44,15679.02,0,0.0,0.0,32.48,0.0
6,700.0,8144.82,4594.55,0,-0.09,0.0,25.15,0.0
8,900.0,9447.91,7851.83,0,0.0,0.0,25.89,0.0
10,1100.0,7782.97,6034.1,0,0.0,0.0,41.27,0.24
12,1300.0,9045.58,9556.7,0,-0.2,0.0,31.5,0.0
14,1500.0,11019.95,8289.55,0,0.22,0.0,42.25,0.0
16,1700.0,9491.14,1592.42,0,0.0,0.0,36.39,2.2
18,1900.0,10081.09,7476.3,0,0.0,15.38,30.77,0.0
20,2100.0,12232.23,3555.06,0,0.0,0.0,32.97,0.0
22,2300.0,13975.07,3845.31,0,0.0,0.0,21.49,0.0
24,2500.0,14053.51,18601.14,0,-0.42,0.0,28.57,0.0
28,2900.0,14362.48,4142.15,0,0.0,0.0,16.85,0.0
30,3100.0,15054.81,2622.91,0,0.22,0.0,27.35,0.0
32,3300.0,17415.7,4476.79,0,0.0,0.0,42.98,0.0
34,3500.0,17757.15,6683.36,0,0.0,0.0,27.35,0.0
36,3700.0,18605.01,4042.16,0,0.22,0.0,33.94,0.0
38,3900.0,16491.81,4354.35,0,-0.02,0.0,24.42,0.0
40,4100.0,17318.99,6010.62,0,0.0,0.0,32.72,0.0
42,4300.0,14343.22,6860.26,0,-0.06,0.0,31.99,0.0
44,4500.0,18213.56,4638.18,0,-0.22,0.0,29.55,0.0
52,5300.0,12183.05,10086.12,0,-0.06,0.0,32.48,0.0
54,5500.0,14096.29,3411.09,0,-0.06,0.0,31.26,0.0
56,5700.0,15142.04,7829.52,0,-0.06,0.0,36.87,0.0
60,6100.0,13818.89,5150.6,0,0.2,0.0,33.46,0.0
64,6500.0,20196.53,3951.2,0,-0.02,0.0,23.44,0.0
66,6700.0,10357.14,12750.69,0,-0.15,0.0,35.16,0.0
68,6900.0,12855.57,10733.14,0,0.2,0.0,35.16,0.0
70,7100.0,14592.15,6883.67,0,-0.28,0.0,34.68,0.0
72,7300.0,22373.07,15284.89,0,0.0,0.0,22.95,0.0
74,7500.0,17050.06,10835.93,0,0.22,0.0,28.82,0.24
76,7700.0,14828.49,6265.41,0,-0.02,0.0,32.72,0.0
78,7900.0,19057.09,14516.08,0,0.0,0.0,14.9,0.0
80,8100.0,15894.19,8024.06,0,0.0,0.0,39.07,4.64
82,8300.0,11815.49,9779.84,0,0.42,0.0,31.5,0.0
84,8500.0,14910.3,9510.97,0,0.0,0.0,30.77,0.0
86,8700.0,14348.28,2877.28,0,0.0,0.0,37.36,0.0
88,8900.0,15045.24,21395.83,0,-0.09,0.0,37.61,0.0
90,9100.0,13963.06,1512.51,0,0.0,0.0,22.22,0.0
92,9300.0,14456.85,6176.16,0,0.0,0.0,33.46,0.0
94,9500.0,15918.6,7078.04,0,0.0,0.0,34.68,0.0
96,9700.0,11711.22,9615.11,0,0.22,0.0,41.27,0.0
98,9900.0,19754.92,10804.23,0,-0.22,0.0,27.84,0.0
100,10100.0,16394.6,13033.14,0,0.15,0.0,26.13,2.69
102,10300.0,16556.19,6118.38,0,-0.09,0.0,29.79,0.0
104,10500.0,21558.76,10618.08,0,0.0,0.0,28.08,0.0
106,10700.0,17226.41,5520.4,0,0.22,0.0,37.85,0.0
108,10900.0,15633.85,5725.62,0,-0.22,0.0,32.48,0.0
110,11100.0,21619.8,15566.48,1,-0.22,0.0,30.04,0.0
112,11300.0,16787.18,4983.57,1,0.0,0.0,39.07,0.0
114,11500.0,17688.77,7686.39,1,-0.22,0.0,31.5,0.0
116,11700.0,9499.11,24295.97,1,-0.28,0.0,0.73,0.0
118,11900.0,26532.31,31984.21,1,-0.37,0.0,44.2,42.25
120,12100.0,30252.35,8875.12,1,0.04,0.0,47.13,0.0
122,12300.0,28276.78,6575.56,1,0.08,0.0,28.08,3.17
124,12500.0,28908.23,6803.62,1,-0.34,0.0,139.93,2.93
126,12700.0,26943.29,4948.59,1,0.0,0.0,27.35,0.0
128,12900.0,25002.81,3436.16,1,-0.04,0.0,53.97,0.0
130,13100.0,25446.12,4702.93,1,-0.11,58.85,27.35,0.0
132,13300.0,22752.8,4253.13,1,-0.23,0.0,19.54,0.0
134,13500.0,23097.82,4674.62,1,-0.01,0.0,35.9,0.0
136,13700.0,22520.91,4106.03,1,-0.16,0.0,31.5,0.0
138,13900.0,24632.49,3925.91,1,0.13,0.0,33.94,0.0
140,14100.0,24498.95,4494.58,1,-0.21,0.0,26.62,0.0
142,14300.0,23902.45,4584.74,1,-0.05,0.0,35.41,0.0
146,14700.0,22722.78,4248.55,1,0.07,0.0,25.15,0.0
148,14900.0,23513.85,4472.15,0,-0.25,0.0,27.84,0.0
150,15100.0,22914.07,4574.04,0,0.4,0.0,31.5,0.0
152,15300.0,22774.45,3709.25,0,0.16,0.0,32.23,0.0
154,15500.0,22481.77,4752.4,0,-0.19,0.0,34.43,0.0
156,15700.0,22498.05,4205.85,0,-0.03,0.0,30.53,0.0
158,15900.0,22800.99,4353.07,0,-0.16,0.0,30.04,0.0
162,16300.0,22797.41,4963.88,0,-0.19,0.0,29.55,0.0
164,16500.0,22698.65,4374.71,0,-0.02,0.0,31.26,0.0
166,16700.0,23130.82,4324.08,0,0.16,0.0,31.99,0.0
168,16900.0,22899.97,4264.95,0,-0.11,0.0,29.06,0.0
170,17100.0,23188.51,4488.13,0,-0.03,0.0,31.26,0.0
172,17300.0,23089.01,4523.5,0,-0.21,0.0,32.48,0.0
174,17500.0,22950.63,4362.85,0,-0.11,0.0,31.26,0.0
178,17900.0,22989.46,4359.94,0,0.08,0.0,30.28,0.0
180,18100.0,23004.13,4340.82,0,-0.19,0.0,31.5,0.0
182,18300.0,22964.88,4397.48,0,0.12,0.0,31.5,0.49
184,18500.0,23014.88,4453.7,0,0.25,0.0,30.04,0.0
186,18700.0,23121.66,4310.96,0,0.2,0.0,29.79,0.0
188,18900.0,23130.26,4369.54,0,-0.02,0.0,32.23,0.0
190,19100.0,23042.31,4330.12,0,0.05,0.0,28.82,0.0
192,19300.0,22803.75,4239.45,0,0.08,0.0,30.77,0.0
196,19700.0,23137.84,4453.14,0,0.08,0.0,31.75,0.49
198,19900.0,22997.63,4390.76,0,-0.08,0.0,31.26,0.0
200,20100.0,22981.28,4332.58,0,-0.1,0.0,29.79,0.0
202,20300.0,23217.32,4345.42,0,0.11,0.0,31.5,0.0
204,20500.0,23332.73,4388.22,0,0.08,0.0,31.26,0.0
206,20700.0,23006.77,4456.23,0,0.13,0.0,30.53,0.24
208,20900.0,23046.17,4345.29,0,-0.11,0.0,30.04,0.0
