Sequence,Time,Acceleration,AngularVelocity,State
0,200.0,1989.74,2835.28,0
1,400.0,1854.02,2883.03,0
2,600.0,2051.97,2859.43,0
4,1000.0,1860.96,2805.56,0
5,1200.0,1894.56,2878.18,0
6,1400.0,1871.9,2886.47,0
8,1800.0,1867.19,2871.49,0
9,2000.0,1966.65,2909.29,0
10,2200.0,1827.66,2920.81,0
12,2600.0,2015.66,4394.97,0
13,2800.0,2247.99,4587.69,0
14,3000.0,2739.27,3249.01,0
16,3400.0,2900.84,4290.09,0
17,3600.0,2320.72,4951.25,0
18,3800.0,4162.12,10450.63,0
21,4400.0,5172.73,9902.45,0
23,4800.0,4009.78,5538.95,0
24,5000.0,4077.28,4041.44,0
25,5200.0,2940.02,7608.55,0
27,5600.0,6093.99,11379.44,0
29,6000.0,8365.4,3976.89,0
30,6200.0,4913.89,5163.68,0
31,6400.0,7825.6,2275.26,0
33,6800.0,3992.68,12548.89,0
35,7200.0,6400.0,14723.31,0
38,7800.0,3111.3,11844.24,0
39,8000.0,7203.36,8209.76,0
40,8200.0,7452.46,5603.26,0
41,8400.0,4422.59,12382.66,0
43,8800.0,5266.76,9120.31,0
44,9000.0,3364.85,7724.18,0
45,9200.0,10670.37,5894.3,0
47,9600.0,5434.05,6263.97,0
49,10000.0,10944.12,16486.5,0
51,10400.0,3997.4,8288.68,0
53,10800.0,10188.82,1174.66,0
56,11400.0,4889.89,20870.25,0
57,11600.0,5255.44,24320.31,0
59,12000.0,4895.33,13187.01,0
61,12400.0,1754.89,9565.37,0
64,13000.0,7705.48,6366.62,0
66,13400.0,3427.95,13452.95,0
68,13800.0,2675.86,8408.16,0
70,14200.0,3534.95,5019.19,0
72,14600.0,1312.5,14859.46,0
75,15200.0,3277.14,5813.11,0
78,15800.0,1519.78,16817.6,0
80,16200.0,4761.07,3907.31,0
82,16600.0,4773.55,5109.18,0
84,17000.0,5378.9,3025.78,0
87,17600.0,3134.31,6801.22,0
89,18000.0,9281.98,9354.46,0
91,18400.0,8252.5,15371.87,0
94,19000.0,2086.11,17055.55,0
96,19400.0,4487.68,3001.14,0
98,19800.0,3612.38,4128.88,0
100,20200.0,3348.7,3256.78,0
102,20600.0,3499.08,5870.88,0
104,21000.0,2578.57,5649.49,0
106,21400.0,3986.3,9103.9,0
108,21800.0,3499.07,8446.09,0
110,22200.0,6288.6,5470.04,0
112,22600.0,5721.2,11306.74,0
114,23000.0,5817.17,6707.51,0
116,23400.0,2615.41,27919.02,0
118,23800.0,4387.65,5678.71,0
120,24200.0,8707.64,17712.23,0
122,24600.0,5743.13,8863.59,0
124,25000.0,6707.07,6485.07,0
127,25600.0,3799.61,6960.35,0
129,26000.0,3388.88,9527.88,0
131,26400.0,12306.12,12348.0,0
133,26800.0,8506.25,5439.32,1
135,27200.0,7966.21,31294.21,1
137,27600.0,2694.6,11183.26,1
139,28000.0,6388.96,17144.68,1
141,28400.0,29628.34,19719.73,1
144,29000.0,22887.36,6551.1,1
146,29400.0,18349.96,7344.22,1
148,29800.0,17215.27,7730.4,1
150,30200.0,16624.85,5389.61,1
153,30800.0,11066.51,5812.99,1
155,31200.0,14121.4,3920.16,1
157,31600.0,13940.51,2737.49,1
159,32000.0,14389.2,3023.6,1
161,32400.0,14399.28,2677.23,1
163,32800.0,14937.68,2794.83,1
165,33200.0,14628.96,3122.28,1
167,33600.0,15068.75,2907.77,1
169,34000.0,14806.53,2788.16,0
171,34400.0,14936.2,2827.99,0
173,34800.0,14113.35,2258.52,0
175,35200.0,15137.82,2378.1,0
177,35600.0,15088.14,2812.77,0
179,36000.0,14883.73,2763.28,0
181,36400.0,15037.61,2642.61,0
183,36800.0,15134.3,2740.04,0
185,37200.0,14900.98,3048.1,0
187,37600.0,15222.06,2621.2,0
189,38000.0,15275.41,2734.48,0
191,38400.0,15231.61,3114.02,0
193,38800.0,15005.86,2470.22,0
195,39200.0,15179.82,2664.62,0
197,39600.0,15174.73,3184.63,0
199,40000.0,15167.39,2743.1,0
201,40400.0,15227.58,2722.5,0
203,40800.0,15285.93,3037.06,0
205,41200.0,15148.77,3021.13,0
207,41600.0,15127.1,2733.97,0
209,42000.0,15518.17,2717.08,0
211,42400.0,15093.62,3084.96,0
213,42800.0,15159.81,2620.52,0
215,43200.0,15393.61,2698.73,0
217,43600.0,15319.92,3117.51,0
219,44000.0,15147.83,2711.18,0
