Sequence,Time,Acceleration,AngularVelocity,State
0,200.0,4983.75,2336.82,0
1,400.0,2801.79,7072.04,0
2,600.0,628.15,2344.02,0
3,800.0,1425.33,1786.96,0
4,1000.0,2680.03,12021.13,0
5,1200.0,4234.05,14674.72,0
7,1600.0,6649.86,7467.85,0
8,1800.0,1216.11,9094.27,0
9,2000.0,1787.61,4107.87,0
10,2200.0,5091.58,5547.05,0
11,2400.0,4971.58,13156.48,0
13,2800.0,12467.53,12019.82,0
14,3000.0,3930.62,9381.78,0
16,3400.0,9039.28,4661.04,0
17,3600.0,3598.92,5912.5,0
19,4000.0,11948.52,6260.78,0
20,4200.0,4701.56,11785.83,0
22,4600.0,7247.7,4141.98,0
23,4800.0,2874.39,11005.78,0
24,5000.0,5548.71,3438.59,0
26,5400.0,3501.99,6558.55,0
27,5600.0,4490.85,5223.11,0
28,5800.0,6929.36,5245.44,0
30,6200.0,4952.89,2306.42,0
31,6400.0,10200.16,6421.82,0
32,6600.0,891.94,6527.51,0
34,7000.0,8008.85,6370.26,0
35,7200.0,10685.56,4471.41,0
36,7400.0,4002.68,11144.17,0
38,7800.0,4770.27,5351.02,0
39,8000.0,4376.16,6504.6,0
40,8200.0,4074.07,13365.69,0
42,8600.0,5819.75,1983.96,0
44,9000.0,1663.89,4480.69,0
45,9200.0,6768.07,5600.69,0
46,9400.0,4108.92,8235.26,0
48,9800.0,7468.84,3426.45,0
49,10000.0,2169.21,16220.1,0
50,10200.0,4334.44,6929.04,0
52,10600.0,4954.76,9027.77,0
54,11000.0,1776.18,6046.42,0
57,11600.0,2602.66,9585.09,0
59,12000.0,1824.2,15490.1,0
61,12400.0,5134.11,4729.5,0
63,12800.0,2820.73,11019.25,0
66,13400.0,7427.38,8673.69,0
68,13800.0,7295.17,7522.23,0
70,14200.0,682.74,7778.6,0
72,14600.0,4024.51,6803.42,0
74,15000.0,5128.57,4900.91,1
76,15400.0,10630.57,6525.27,1
78,15800.0,5949.03,12966.25,1
80,16200.0,15890.53,28311.08,1
82,16600.0,27197.02,8956.4,1
84,17000.0,19469.12,1140.82,1
87,17600.0,20113.83,738.85,1
88,17800.0,20819.22,760.73,1
90,18200.0,21063.88,677.61,1
92,18600.0,20419.43,288.7,1
95,19200.0,20424.07,3226.05,1
97,19600.0,14878.2,5678.6,1
100,20200.0,6320.03,5266.25,1
102,20600.0,7378.14,2883.61,0
104,21000.0,6341.67,1223.08,0
106,21400.0,7249.2,3307.46,0
108,21800.0,6339.95,3396.69,0
110,22200.0,8907.86,857.55,0
112,22600.0,8668.56,434.08,0
114,23000.0,8363.83,599.4,0
116,23400.0,8229.13,1033.89,0
119,24000.0,7606.35,531.19,0
121,24400.0,7716.17,549.6,0
125,25200.0,8011.3,2433.61,0
127,25600.0,8409.75,821.3,0
129,26000.0,8100.37,1084.92,0
131,26400.0,7362.28,457.17,0
133,26800.0,7819.12,605.03,0
135,27200.0,8357.85,778.36,0
137,27600.0,8599.98,440.82,0
139,28000.0,8793.6,707.05,0
141,28400.0,8594.22,503.1,0
143,28800.0,8288.3,440.96,0
145,29200.0,8254.43,729.96,0
147,29600.0,8535.62,687.61,0
149,30000.0,8462.67,690.69,0
151,30400.0,8259.21,517.72,0
153,30800.0,8370.85,646.44,0
155,31200.0,8465.15,465.6,0
157,31600.0,8427.98,478.59,0
159,32000.0,8333.24,672.82,0
161,32400.0,8418.95,751.52,0
