Sequence,Time,Acceleration,AngularVelocity,State
0,200.0,850.81,483.89,0
1,400.0,1117.51,711.19,0
2,600.0,698.68,691.93,0
4,1000.0,1119.17,476.66,0
6,1400.0,963.45,651.36,0
7,1600.0,966.68,638.84,0
8,1800.0,1043.74,608.25,0
9,2000.0,1287.22,578.34,0
10,2200.0,1214.2,1114.52,0
12,2600.0,760.62,4362.15,0
13,2800.0,714.42,5975.98,0
15,3200.0,2307.81,4011.07,0
16,3400.0,2216.12,4289.09,0
18,3800.0,4909.71,3021.12,0
19,4000.0,3149.12,5823.88,0
20,4200.0,2627.49,12005.6,0
23,4800.0,4383.48,10278.06,0
25,5200.0,4253.86,2620.2,0
26,5400.0,4765.38,4294.47,0
27,5600.0,7636.16,10740.08,0
29,6000.0,7958.97,9988.71,0
31,6400.0,5896.88,4412.62,0
32,6600.0,3628.98,1865.21,0
33,6800.0,5518.88,3666.41,0
35,7200.0,3357.48,3014.84,0
37,7600.0,7407.58,5519.61,0
38,7800.0,5173.04,8579.49,0
39,8000.0,6212.1,1951.98,0
41,8400.0,10037.15,3307.5,0
43,8800.0,6644.77,6689.09,0
44,9000.0,4165.57,5049.4,0
45,9200.0,6632.38,9355.88,0
47,9600.0,1642.65,2214.46,0
48,9800.0,1635.23,7083.79,0
49,10000.0,2568.92,5635.77,0
51,10400.0,3287.73,5879.94,0
53,10800.0,7424.34,3518.26,0
55,11200.0,6844.19,3729.33,0
57,11600.0,5929.19,5924.73,0
59,12000.0,6946.8,9814.47,0
61,12400.0,7029.65,6606.09,0
63,12800.0,5162.57,11879.63,0
65,13200.0,3075.73,3616.17,0
67,13600.0,6243.58,11773.95,0
69,14000.0,4366.32,3557.51,0
71,14400.0,8542.81,11430.62,0
73,14800.0,5538.04,6952.1,0
75,15200.0,7632.82,6672.81,0
77,15600.0,5286.66,5776.42,0
79,16000.0,7837.67,6225.68,0
82,16600.0,5390.3,9827.66,1
85,17200.0,4589.96,7399.6,1
87,17600.0,7855.38,24878.74,1
89,18000.0,8902.81,17789.2,1
91,18400.0,24728.62,1995.62,1
93,18800.0,22815.84,1917.46,1
95,19200.0,19091.87,4717.6,1
97,19600.0,13164.48,3519.2,1
99,20000.0,11982.94,4484.06,1
102,20600.0,10746.98,3679.69,1
104,21000.0,11181.67,502.67,1
106,21400.0,11904.08,1529.96,1
108,21800.0,13788.2,1278.92,1
110,22200.0,13822.22,1022.97,0
112,22600.0,15285.16,5985.05,0
114,23000.0,11912.05,2806.63,0
116,23400.0,13406.19,6937.28,0
119,24000.0,10213.1,2319.73,0
121,24400.0,11517.02,2872.88,0
123,24800.0,11481.22,795.84,0
125,25200.0,11922.07,411.53,0
127,25600.0,11900.14,345.1,0
129,26000.0,11574.96,634.18,0
131,26400.0,11837.31,289.79,0
134,27000.0,12227.89,333.8,0
137,27600.0,11940.76,734.67,0
139,28000.0,12062.89,307.12,0
142,28600.0,12081.2,544.28,0
144,29000.0,11929.57,748.41,0
146,29400.0,12045.65,310.26,0
148,29800.0,11998.0,388.48,0
150,30200.0,12059.01,640.82,0
152,30600.0,12057.7,301.35,0
155,31200.0,12353.17,390.1,0
157,31600.0,12148.3,771.27,0
159,32000.0,12162.75,321.53,0
162,32600.0,12397.61,427.85,0
164,33000.0,12028.04,736.74,0
167,33600.0,11246.6,348.7,0
169,34000.0,11796.64,769.41,0
171,34400.0,11732.68,382.14,0
173,34800.0,11371.78,1865.69,0
175,35200.0,10676.24,827.88,0
177,35600.0,7096.51,6216.46,0
179,36000.0,8743.28,1820.71,0
181,36400.0,7821.26,2976.03,0
183,36800.0,9214.57,252.69,0
185,37200.0,9555.99,478.53,0
188,37800.0,9719.01,547.84,0
190,38200.0,9287.48,396.56,0
