Sequence,Time,Acceleration,AngularVelocity,State
1,400.0,1679.22,15882.9,0
2,600.0,2006.88,10672.95,0
3,800.0,2514.64,5837.24,0
5,1200.0,811.15,2125.47,0
6,1400.0,1005.44,1917.48,0
7,1600.0,1027.89,2041.87,0
9,2000.0,1958.52,2272.86,0
11,2400.0,1578.0,5703.58,0
12,2600.0,2600.94,6144.11,0
13,2800.0,2370.12,5056.94,0
14,3000.0,5503.52,5819.7,0
15,3200.0,3612.14,8661.17,0
17,3600.0,8894.96,4756.94,0
18,3800.0,6092.13,14375.71,0
19,4000.0,5061.95,8011.36,0
21,4400.0,7666.59,16054.27,0
23,4800.0,6420.16,6475.47,0
24,5000.0,7279.62,9536.41,0
25,5200.0,3191.36,13701.85,0
27,5600.0,5808.49,19966.38,0
30,6200.0,3101.12,15456.6,0
32,6600.0,8928.32,7488.75,0
33,6800.0,8993.42,15562.13,0
34,7000.0,7735.55,9245.13,0
37,7600.0,4209.27,9794.62,0
38,7800.0,4197.73,9682.38,0
40,8200.0,7954.36,10869.1,0
43,8800.0,4937.02,6105.91,0
44,9000.0,4017.1,10199.0,0
47,9600.0,7107.12,6829.14,0
48,9800.0,6983.59,2561.69,0
49,10000.0,5386.99,5528.79,0
51,10400.0,5159.88,12480.71,0
53,10800.0,4103.17,14258.28,0
56,11400.0,2218.15,1978.12,0
59,12000.0,1927.21,2097.19,0
61,12400.0,2713.82,11039.4,0
63,12800.0,3372.58,2453.69,0
65,13200.0,2172.1,8620.59,0
67,13600.0,4929.2,1639.04,0
69,14000.0,4298.13,11249.64,0
71,14400.0,3714.24,4347.38,0
72,14600.0,5885.96,4499.01,0
74,15000.0,3475.5,4196.18,0
76,15400.0,1338.47,6047.19,0
78,15800.0,3411.6,7026.96,0
80,16200.0,859.37,13056.22,0
82,16600.0,2637.66,6260.22,0
83,16800.0,1565.48,5440.51,0
85,17200.0,2804.19,12423.91,0
87,17600.0,4593.67,5873.22,0
89,18000.0,3258.89,5851.54,0
91,18400.0,4067.23,7972.42,0
93,18800.0,2307.46,10505.73,0
95,19200.0,2227.09,3138.57,0
97,19600.0,2595.2,14955.34,0
99,20000.0,3542.38,1470.66,0
101,20400.0,1681.27,9549.64,0
104,21000.0,4248.33,8243.73,0
106,21400.0,6325.96,15145.73,0
108,21800.0,3229.05,6295.22,0
113,22800.0,1526.08,11182.2,0
115,23200.0,3507.72,7387.04,0
117,23600.0,1286.41,7179.5,0
119,24000.0,2215.1,4646.96,0
121,24400.0,1099.84,6877.73,0
123,24800.0,3002.89,4640.94,0
125,25200.0,4388.27,11690.77,0
127,25600.0,3231.56,9050.25,0
129,26000.0,2346.99,5653.86,0
131,26400.0,3615.49,6588.54,0
133,26800.0,2331.8,10872.5,0
135,27200.0,721.72,5100.59,0
137,27600.0,4079.99,5673.05,0
139,28000.0,2681.15,4481.12,0
141,28400.0,4098.75,4497.61,0
143,28800.0,1853.72,3791.02,0
145,29200.0,2573.23,6471.95,0
149,30000.0,1905.7,4986.04,0
151,30400.0,871.27,16417.13,0
153,30800.0,3203.61,2395.11,0
155,31200.0,1176.73,4115.22,0
157,31600.0,638.42,2503.0,0
159,32000.0,1807.81,4255.71,0
161,32400.0,2866.78,4687.36,0
163,32800.0,1469.22,2163.38,0
165,33200.0,2473.63,5194.85,0
167,33600.0,2418.72,13349.81,0
169,34000.0,4527.76,7938.33,0
171,34400.0,1744.74,6834.62,0
173,34800.0,5882.52,3012.32,0
175,35200.0,5738.11,2900.06,0
177,35600.0,7435.53,13331.65,0
179,36000.0,4166.29,3379.27,0
181,36400.0,4818.19,15691.79,0
183,36800.0,2071.98,15252.87,0
185,37200.0,6794.7,13761.72,0
187,37600.0,1145.33,11549.49,0
189,38000.0,9651.65,13228.95,0
191,38400.0,8973.91,19255.5,0
193,38800.0,9421.32,8446.48,0
195,39200.0,3617.91,5303.42,0
197,39600.0,12103.63,9209.23,0
199,40000.0,4730.69,6010.79,1
201,40400.0,24178.07,39571.54,1
203,40800.0,26114.78,9228.93,1
205,41200.0,20140.4,3985.3,1
207,41600.0,19299.45,5530.52,1
209,42000.0,15740.79,10620.38,1
211,42400.0,16798.99,4369.58,1
213,42800.0,18631.55,9593.32,1
215,43200.0,12420.51,3108.52,1
217,43600.0,9898.88,4424.81,1
219,44000.0,11329.85,2706.12,1
221,44400.0,11571.57,2081.46,1
223,44800.0,11711.0,1778.37,1
225,45200.0,11591.62,1945.41,0
228,45800.0,11604.32,2109.61,0
230,46200.0,11763.71,2183.6,0
232,46600.0,11691.58,2391.0,0
234,47000.0,11655.77,2138.76,0
236,47400.0,11906.16,2039.64,0
238,47800.0,12030.9,2039.27,0
240,48200.0,12046.21,2391.37,0
242,48600.0,11801.63,2083.82,0
244,49000.0,11891.24,1993.76,0
246,49400.0,12024.13,2240.36,0
248,49800.0,11850.94,2228.23,0
250,50200.0,11992.32,2007.27,0
252,50600.0,12143.89,2167.32,0
254,51000.0,11849.04,2219.65,0
256,51400.0,11996.36,2187.2,0
258,51800.0,12090.21,1884.58,0
260,52200.0,12102.79,2336.74,0
262,52600.0,11886.2,2088.98,0
264,53000.0,11984.46,2047.68,0
266,53400.0,12059.83,2418.88,0
268,53800.0,11978.55,2016.76,0
271,54400.0,12247.42,2493.7,0
273,54800.0,11823.94,2285.08,0
275,55200.0,12216.39,2121.58,0
277,55600.0,12430.1,2253.71,0
279,56000.0,11994.39,2390.9,0
281,56400.0,12161.95,1937.47,0
283,56800.0,12220.13,1999.02,0
