Sequence,Time,Acceleration,AngularVelocity,State
1,400.0,3735.07,4062.74,0
2,600.0,2652.53,2514.45,0
3,800.0,1718.28,3788.13,0
5,1200.0,2641.22,1755.68,0
7,1600.0,3172.28,4722.36,0
8,1800.0,3346.38,4351.0,0
9,2000.0,3376.41,2975.4,0
11,2400.0,1312.32,2881.08,0
12,2600.0,3396.18,5270.21,0
13,2800.0,3512.59,9214.38,0
15,3200.0,3289.98,9395.55,0
16,3400.0,1927.72,13059.71,0
17,3600.0,5136.78,18210.71,0
19,4000.0,7078.93,2189.27,0
20,4200.0,3961.14,3487.24,0
21,4400.0,6683.32,2834.85,0
23,4800.0,4319.32,18164.82,0
25,5200.0,9444.74,17138.81,0
27,5600.0,5341.2,6469.28,0
28,5800.0,7747.19,7248.61,0
29,6000.0,2267.2,10576.31,0
31,6400.0,13526.31,9292.75,0
32,6600.0,4005.81,9270.93,0
34,7000.0,4570.41,12706.35,0
36,7400.0,10325.87,14448.54,0
38,7800.0,5870.45,7313.95,0
39,8000.0,4099.71,8056.92,0
40,8200.0,3471.15,12426.64,0
42,8600.0,8143.3,3289.35,0
44,9000.0,2854.4,5283.87,0
45,9200.0,2508.97,9984.82,0
49,10000.0,4971.11,10295.11,0
51,10400.0,5379.47,9007.49,0
54,11000.0,5574.67,18932.96,0
55,11200.0,1088.23,4995.67,0
58,11800.0,6148.98,13699.34,0
60,12200.0,1946.63,13148.11,0
62,12600.0,3771.47,5623.62,0
64,13000.0,9346.01,6062.08,0
66,13400.0,6430.35,5232.8,0
68,13800.0,8258.88,7487.52,0
70,14200.0,8498.79,13346.51,0
72,14600.0,6176.9,8453.42,1
74,15000.0,6356.86,12393.15,1
76,15400.0,13498.33,3649.72,1
79,16000.0,4693.32,32981.62,1
81,16400.0,27981.13,11720.29,1
83,16800.0,22022.9,4304.37,1
85,17200.0,24983.93,2060.43,1
87,17600.0,24741.18,4237.12,1
89,18000.0,21378.88,6965.36,1
91,18400.0,15756.13,5577.26,1
93,18800.0,12405.71,4258.68,1
95,19200.0,16308.83,4144.15,0
98,19800.0,22962.49,3658.89,0
101,20400.0,11080.52,2383.77,0
103,20800.0,13206.04,4134.41,0
105,21200.0,13482.47,2352.45,0
107,21600.0,13178.42,3548.67,0
109,22000.0,12797.48,2572.52,0
113,22800.0,12036.32,2108.51,0
118,23800.0,12236.19,2185.57,0
120,24200.0,12000.1,2228.05,0
122,24600.0,12084.92,2170.3,0
124,25000.0,12320.59,1867.54,0
126,25400.0,12082.65,2317.72,0
129,26000.0,12299.13,2135.71,0
131,26400.0,11905.95,2150.4,0
134,27000.0,11675.54,2237.91,0
136,27400.0,12064.35,2220.74,0
138,27800.0,12211.69,2126.25,0
140,28200.0,12140.32,2103.21,0
142,28600.0,12097.76,2248.84,0
144,29000.0,11998.92,2158.75,0
146,29400.0,12079.18,2149.13,0
148,29800.0,12122.54,2039.21,0
150,30200.0,12008.26,2179.6,0
152,30600.0,12358.3,2123.54,0
154,31000.0,12210.86,2062.96,0
156,31400.0,12073.16,2196.36,0
158,31800.0,12095.53,2144.63,0
160,32200.0,11990.74,2048.98,0
162,32600.0,11995.86,2246.84,0
164,33000.0,11999.12,2127.49,0
167,33600.0,12029.27,2045.56,0
169,34000.0,12103.55,2141.45,0
171,34400.0,11883.0,2079.14,0
173,34800.0,12055.97,2071.42,0
175,35200.0,12021.99,2282.19,0
