Sequence,Time,Acceleration,AngularVelocity,State
1,400.0,2366.41,1548.23,0
2,600.0,4285.93,6234.27,0
4,1000.0,4103.85,5571.55,0
5,1200.0,4719.62,2855.3,0
6,1400.0,4359.53,2619.32,0
8,1800.0,2017.2,6642.9,0
9,2000.0,1726.16,9193.01,0
10,2200.0,741.73,10355.95,0
12,2600.0,3514.9,15409.61,0
15,3200.0,7600.06,2641.09,0
16,3400.0,4452.07,7928.82,0
17,3600.0,1225.97,3071.82,0
20,4200.0,4741.16,7048.94,0
21,4400.0,9153.08,6963.67,0
23,4800.0,3982.52,4706.65,0
24,5000.0,7475.77,2479.24,0
25,5200.0,8907.28,10716.94,0
27,5600.0,15730.45,11019.08,0
30,6200.0,7405.63,1880.0,0
31,6400.0,6329.29,17740.13,0
32,6600.0,4035.22,7462.22,0
34,7000.0,8708.64,13062.48,0
37,7600.0,6122.46,15974.24,0
38,7800.0,10067.79,17159.47,0
40,8200.0,5302.9,5527.43,0
41,8400.0,4349.6,3472.93,0
42,8600.0,5605.6,8158.13,0
43,8800.0,8563.35,4263.96,0
45,9200.0,8306.36,8221.98,0
46,9400.0,6498.67,7247.29,0
47,9600.0,1591.29,3160.18,0
48,9800.0,5768.11,15580.69,0
49,10000.0,4768.08,13684.22,0
51,10400.0,2294.66,22021.84,0
53,10800.0,4528.53,10707.87,0
55,11200.0,4376.56,8282.55,0
57,11600.0,5344.71,7140.78,0
59,12000.0,8959.68,6455.87,0
61,12400.0,11961.61,13475.63,0
63,12800.0,8675.89,2542.01,0
66,13400.0,6271.59,7751.58,0
68,13800.0,3807.3,20793.58,0
70,14200.0,4283.12,8396.18,0
72,14600.0,2246.54,15605.5,0
74,15000.0,1650.61,13684.82,0
76,15400.0,1980.36,7106.21,0
79,16000.0,4772.55,13786.32,0
81,16400.0,3369.13,11148.26,0
83,16800.0,2566.3,5063.76,0
85,17200.0,7818.24,10350.87,0
87,17600.0,4220.42,13395.66,0
89,18000.0,6217.12,13148.08,0
91,18400.0,7863.57,16384.81,0
93,18800.0,3937.99,3179.74,0
95,19200.0,13587.52,16750.81,0
97,19600.0,5816.74,8193.41,0
100,20200.0,7537.7,4526.54,0
102,20600.0,3727.43,8496.58,0
104,21000.0,5563.09,12193.59,0
106,21400.0,4942.39,4866.82,0
108,21800.0,3850.6,11460.08,0
110,22200.0,743.42,2728.65,0
114,23000.0,2788.94,12209.09,0
117,23600.0,5865.41,14479.32,0
119,24000.0,1733.23,4273.04,0
121,24400.0,4431.58,10621.95,0
123,24800.0,8085.3,3995.86,0
125,25200.0,6057.38,4791.01,0
127,25600.0,11191.37,17875.99,0
129,26000.0,9877.75,10759.35,0
131,26400.0,16409.38,14954.7,0
133,26800.0,11362.23,5522.54,0
135,27200.0,7441.67,16656.37,0
137,27600.0,21324.12,10080.51,1
139,28000.0,9618.21,6173.8,1
141,28400.0,6208.36,9071.81,1
143,28800.0,35902.46,22818.73,1
145,29200.0,23916.12,8811.32,1
147,29600.0,19216.57,3045.9,1
149,30000.0,16493.15,3070.31,1
151,30400.0,17073.46,1807.62,1
153,30800.0,17607.55,4040.84,1
155,31200.0,21400.26,7779.84,1
157,31600.0,20315.61,3674.64,1
159,32000.0,16554.59,4290.9,1
162,32600.0,13199.22,6998.86,0
164,33000.0,14879.65,8891.6,0
166,33400.0,23209.61,5499.15,0
168,33800.0,13351.54,3109.26,0
170,34200.0,9781.73,2627.01,0
172,34600.0,12956.33,2075.82,0
174,35000.0,13201.6,1172.44,0
176,35400.0,13435.01,1384.76,0
180,36200.0,13368.94,1225.86,0
182,36600.0,13419.4,1341.19,0
184,37000.0,13435.63,1705.88,0
186,37400.0,13545.84,1312.66,0
188,37800.0,13446.51,1440.27,0
190,38200.0,13562.52,1732.69,0
192,38600.0,13281.99,1446.66,0
194,39000.0,13541.67,1398.69,0
197,39600.0,13594.73,1673.87,0
199,40000.0,13465.68,1230.42,0
202,40600.0,13702.05,1560.68,0
204,41000.0,13469.27,1686.28,0
206,41400.0,13454.96,1220.22,0
209,42000.0,13631.23,1711.79,0
211,42400.0,13571.94,1264.87,0
213,42800.0,13476.51,1392.01,0
215,43200.0,13630.52,1670.66,0
217,43600.0,13633.46,1288.64,0
219,44000.0,13683.02,1377.26,0
221,44400.0,13578.51,1724.87,0
223,44800.0,13667.35,1269.0,0
227,45600.0,13544.86,1734.8,0
230,46200.0,13647.59,1375.13,0
233,46800.0,13582.02,1693.87,0
235,47200.0,13717.61,1297.86,0
238,47800.0,13772.35,1604.53,0
240,48200.0,13579.98,1361.16,0
242,48600.0,13624.67,1410.83,0
245,49200.0,13583.68,1603.85,0
247,49600.0,13765.36,1329.97,0
249,50000.0,13703.54,1406.57,0
251,50400.0,13870.22,1638.41,0
253,50800.0,13580.03,1352.78,0
257,51600.0,13770.58,1468.51,0
259,52000.0,13726.8,1764.47,0
261,52400.0,13848.91,1365.64,0
263,52800.0,13852.04,1401.97,0
265,53200.0,13793.57,1626.61,0
267,53600.0,13859.88,1363.49,0
269,54000.0,13667.76,1387.64,0
271,54400.0,13792.4,1472.28,0
273,54800.0,13701.03,1683.19,0
275,55200.0,13758.59,1313.72,0
277,55600.0,13894.29,1352.16,0
279,56000.0,13730.43,1679.68,0
281,56400.0,13679.8,1287.48,0
283,56800.0,13800.35,1310.53,0
285,57200.0,13887.37,1551.64,0
287,57600.0,13671.64,1663.51,0
