Sequence,Time,Acceleration,AngularVelocity,State
0,200.0,1251.6,1104.18,0
1,400.0,1847.3,2746.16,0
3,800.0,4171.29,1229.92,0
4,1000.0,3822.55,4166.33,0
5,1200.0,1908.24,11357.09,0
8,1800.0,5365.06,11896.23,0
9,2000.0,7311.71,19476.96,0
11,2400.0,4397.46,16068.31,0
13,2800.0,3412.29,9195.39,0
14,3000.0,2889.02,4458.17,0
15,3200.0,2040.24,6829.95,0
17,3600.0,5083.57,10369.03,0
20,4200.0,6529.27,2358.21,0
21,4400.0,2406.1,8444.51,0
23,4800.0,5284.54,10760.25,0
25,5200.0,6030.03,8510.65,0
26,5400.0,6531.14,3469.71,0
27,5600.0,3563.62,9646.81,0
29,6000.0,7981.81,6014.24,0
30,6200.0,4589.3,18561.79,0
31,6400.0,2535.69,6444.74,0
34,7000.0,7656.62,12411.39,0
35,7200.0,10239.23,14655.04,0
37,7600.0,6655.06,7596.23,0
38,7800.0,6434.54,19234.39,0
40,8200.0,1419.88,7857.01,0
41,8400.0,6154.5,12102.31,0
42,8600.0,4333.22,4358.46,0
44,9000.0,3756.57,2619.72,0
45,9200.0,5442.17,8414.73,0
46,9400.0,10040.0,9288.82,0
48,9800.0,3148.73,13542.1,0
49,10000.0,4040.25,12372.53,0
51,10400.0,1922.49,12312.53,0
53,10800.0,6459.63,6368.33,0
55,11200.0,4467.06,6685.38,0
57,11600.0,886.03,12051.31,0
59,12000.0,5194.61,6499.13,0
61,12400.0,3838.46,1735.87,0
63,12800.0,1620.95,5504.34,0
65,13200.0,2957.8,6872.25,0
67,13600.0,1005.6,9993.53,0
69,14000.0,2339.87,713.88,0
71,14400.0,315.46,12903.67,0
73,14800.0,3055.37,6515.89,0
75,15200.0,3942.26,24603.3,0
78,15800.0,7201.29,3484.19,0
79,16000.0,3800.24,8232.01,0
81,16400.0,2706.18,3018.08,0
83,16800.0,4539.88,4621.02,0
85,17200.0,2750.01,6169.67,0
87,17600.0,4108.01,1121.2,0
89,18000.0,4861.67,2274.88,0
91,18400.0,909.63,1952.67,0
93,18800.0,805.55,856.49,0
95,19200.0,267.06,3333.87,0
96,19400.0,1550.57,6120.59,0
97,19600.0,4266.33,6855.42,0
99,20000.0,6189.06,2937.03,0
100,20200.0,1964.28,4794.62,0
102,20600.0,2780.96,2479.04,0
104,21000.0,3384.1,13108.5,0
106,21400.0,2286.18,6911.59,0
108,21800.0,2305.0,10726.28,0
110,22200.0,6242.71,7833.09,0
112,22600.0,3933.54,5687.28,0
114,23000.0,1299.71,9825.92,0
116,23400.0,4548.26,2557.46,0
118,23800.0,523.7,11042.58,0
120,24200.0,6113.63,2106.93,0
122,24600.0,3513.05,8705.2,0
125,25200.0,3308.86,4649.03,0
127,25600.0,1939.47,14728.13,0
129,26000.0,5892.22,2114.69,0
131,26400.0,2581.06,13513.24,0
133,26800.0,6845.5,12143.47,0
135,27200.0,3644.22,17748.91,0
137,27600.0,2032.46,3571.67,0
139,28000.0,3805.91,3640.88,0
141,28400.0,4173.49,14344.57,0
143,28800.0,6452.34,1592.73,0
145,29200.0,6693.28,21924.28,0
147,29600.0,4971.2,4952.69,0
149,30000.0,8423.75,6753.42,0
151,30400.0,2982.98,8217.24,0
153,30800.0,5179.41,6225.59,1
155,31200.0,5893.86,16280.16,1
157,31600.0,12618.62,27308.02,1
159,32000.0,25259.1,5998.05,1
161,32400.0,16207.75,815.79,1
163,32800.0,18471.45,834.16,1
165,33200.0,15316.3,5841.04,1
167,33600.0,16871.15,5643.36,1
169,34000.0,14082.12,3149.43,1
171,34400.0,13393.64,2162.32,1
173,34800.0,14453.2,635.46,1
175,35200.0,14034.7,569.9,1
177,35600.0,13801.36,575.88,1
179,36000.0,14113.42,385.98,0
181,36400.0,14028.8,2018.46,0
183,36800.0,13975.84,2118.49,0
185,37200.0,12237.17,5189.42,0
187,37600.0,15029.87,3261.94,0
189,38000.0,14649.04,5437.42,0
191,38400.0,14775.6,1860.75,0
193,38800.0,14705.52,350.82,0
195,39200.0,15194.46,579.41,0
197,39600.0,14935.89,502.97,0
199,40000.0,14857.87,636.42,0
201,40400.0,14692.64,414.08,0
203,40800.0,14888.39,409.71,0
205,41200.0,15109.62,462.94,0
207,41600.0,14318.39,697.08,0
209,42000.0,15156.51,527.69,0
211,42400.0,15108.93,494.04,0
213,42800.0,15270.86,597.67,0
215,43200.0,15074.04,461.07,0
217,43600.0,15103.18,504.14,0
219,44000.0,15229.05,541.03,0
221,44400.0,14717.12,463.91,0
223,44800.0,14966.46,416.22,0
225,45200.0,15176.5,474.01,0
227,45600.0,15121.82,571.21,0
229,46000.0,15044.24,466.17,0
231,46400.0,15361.22,518.7,0
233,46800.0,15193.07,548.14,0
235,47200.0,14973.0,536.88,0
