Sequence,Time,Acceleration,AngularVelocity,State
0,200.0,1038.27,1648.42,0
1,400.0,879.0,1689.58,0
2,600.0,614.69,1686.32,0
3,800.0,562.86,1614.89,0
5,1200.0,2521.89,5550.33,0
6,1400.0,1686.58,3700.97,0
7,1600.0,2951.93,3594.91,0
9,2000.0,5815.39,5434.52,0
10,2200.0,2957.54,15904.16,0
11,2400.0,2708.23,17671.05,0
13,2800.0,4502.37,9738.47,0
15,3200.0,1843.75,4076.73,0
16,3400.0,7900.7,3983.16,0
17,3600.0,3019.24,23953.8,0
19,4000.0,8671.91,7144.23,0
20,4200.0,3203.84,8072.07,0
21,4400.0,3106.64,8063.93,0
23,4800.0,4616.43,17151.6,0
25,5200.0,7864.98,7373.43,0
28,5800.0,5176.62,18063.52,0
29,6000.0,4855.98,11298.6,0
31,6400.0,5909.5,7477.72,0
32,6600.0,6348.98,9126.17,0
33,6800.0,2023.69,6523.63,0
35,7200.0,6417.54,14053.58,0
37,7600.0,3379.53,5908.23,0
39,8000.0,7990.82,7289.4,0
40,8200.0,5549.73,17700.93,0
41,8400.0,5757.85,5276.97,0
43,8800.0,10001.6,16178.58,0
45,9200.0,5427.24,4365.03,0
46,9400.0,4083.2,6529.66,0
47,9600.0,4605.65,15345.41,0
50,10200.0,7909.95,10989.75,0
52,10600.0,3275.54,22722.8,0
54,11000.0,4564.15,14428.49,0
56,11400.0,7986.46,20984.32,0
59,12000.0,4821.69,8805.31,0
60,12200.0,2234.6,7982.07,0
62,12600.0,7761.22,6110.81,0
64,13000.0,4852.65,11365.83,0
66,13400.0,11903.64,20116.61,0
68,13800.0,12255.08,9036.14,1
70,14200.0,11051.04,8502.19,1
72,14600.0,19207.67,28820.79,1
74,15000.0,25703.09,5528.95,1
76,15400.0,21099.37,1598.66,1
78,15800.0,22658.04,1005.96,1
80,16200.0,23177.38,1524.63,1
83,16800.0,22919.72,1391.82,1
85,17200.0,23040.88,1481.71,0
87,17600.0,23223.03,1676.51,0
89,18000.0,23430.37,1513.92,0
91,18400.0,23150.4,2295.08,0
93,18800.0,21157.18,5333.74,0
95,19200.0,15413.82,12997.13,0
97,19600.0,11344.55,5647.22,0
99,20000.0,13899.14,5300.7,0
101,20400.0,11452.88,6525.4,0
103,20800.0,13479.0,8647.05,0
105,21200.0,12815.59,2271.81,0
107,21600.0,14326.28,1105.46,0
109,22000.0,15108.98,1230.99,0
111,22400.0,14727.49,1376.69,0
113,22800.0,14939.45,1706.04,0
115,23200.0,14828.56,1799.45,0
117,23600.0,15301.02,1889.16,0
119,24000.0,15250.25,1554.09,0
121,24400.0,15039.08,1516.91,0
123,24800.0,14990.33,1552.74,0
125,25200.0,14843.79,1421.44,0
127,25600.0,14464.25,1382.78,0
129,26000.0,14931.05,1673.35,0
132,26600.0,14623.84,2296.1,0
134,27000.0,15223.01,1478.75,0
136,27400.0,14859.57,1659.68,0
138,27800.0,15022.62,1927.23,0
140,28200.0,15376.68,1888.3,0
142,28600.0,15525.97,1576.37,0
144,29000.0,15692.05,1533.36,0
146,29400.0,15660.29,1447.67,0
148,29800.0,15606.08,1840.34,0
150,30200.0,15603.13,1499.05,0
152,30600.0,15693.18,1523.35,0
154,31000.0,15617.35,1529.55,0
156,31400.0,15783.87,1773.05,0
159,32000.0,15717.73,1526.37,0
161,32400.0,15548.14,1704.61,0
163,32800.0,15671.65,1438.53,0
165,33200.0,15628.46,1563.16,0
167,33600.0,15512.6,1735.5,0
169,34000.0,15759.06,1569.65,0
171,34400.0,15817.75,1691.06,0
