Sequence,Time,Acceleration,AngularVelocity,State
1,400.0,2988.74,1434.74,0
2,600.0,3776.25,1295.38,0
4,1000.0,2995.82,2812.12,0
5,1200.0,2670.87,2439.05,0
6,1400.0,365.96,5008.08,0
8,1800.0,1530.89,7355.8,0
9,2000.0,3077.22,4946.53,0
11,2400.0,2111.92,3107.07,0
12,2600.0,4841.73,7761.01,0
13,2800.0,2343.03,6299.72,0
16,3400.0,2121.78,11106.45,0
17,3600.0,5572.19,10344.47,0
19,4000.0,2258.61,5321.5,0
20,4200.0,4838.22,6269.3,0
21,4400.0,4157.15,7304.15,0
23,4800.0,4256.69,10916.45,0
25,5200.0,3470.95,10346.45,0
27,5600.0,8248.62,6612.28,0
28,5800.0,5547.66,5219.77,0
29,6000.0,7427.55,8265.03,0
31,6400.0,5080.04,3846.87,0
32,6600.0,3927.85,8040.72,0
33,6800.0,4083.19,9511.44,0
35,7200.0,13389.62,8715.49,0
37,7600.0,3334.54,6331.25,0
38,7800.0,5501.9,8354.6,0
39,8000.0,9839.37,13581.38,0
41,8400.0,8469.12,1282.27,0
42,8600.0,7694.4,13797.45,0
43,8800.0,6343.3,6055.77,0
44,9000.0,12286.64,7637.88,0
46,9400.0,11010.95,8534.25,0
47,9600.0,2332.19,7160.9,0
49,10000.0,6552.01,3294.58,0
51,10400.0,12796.98,22089.17,0
53,10800.0,17032.21,6333.78,0
55,11200.0,9159.17,5358.77,0
57,11600.0,7328.0,12561.27,0
59,12000.0,4222.62,23021.31,0
61,12400.0,6737.35,12695.55,1
63,12800.0,6462.38,8672.28,1
67,13600.0,7463.93,13668.16,1
69,14000.0,22420.53,24445.58,1
71,14400.0,22439.48,32595.7,1
73,14800.0,24255.27,7215.69,1
75,15200.0,21428.5,1508.75,1
77,15600.0,18417.38,2390.76,1
81,16400.0,8287.57,8176.45,0
83,16800.0,10747.96,14851.35,0
85,17200.0,9306.11,4583.71,0
87,17600.0,10618.17,5729.58,0
89,18000.0,12405.91,5067.47,0
91,18400.0,10484.87,2362.94,0
93,18800.0,13457.72,2692.74,0
95,19200.0,12064.51,940.21,0
97,19600.0,11826.45,1674.68,0
99,20000.0,11077.66,1291.88,0
101,20400.0,11715.73,1104.67,0
103,20800.0,12208.98,1053.17,0
105,21200.0,11956.86,883.93,0
107,21600.0,12168.1,1042.52,0
109,22000.0,12063.64,878.56,0
111,22400.0,12185.59,1032.27,0
113,22800.0,12129.66,1050.57,0
116,23400.0,12014.91,1111.81,0
117,23600.0,12136.73,970.51,0
119,24000.0,12279.6,978.1,0
121,24400.0,12080.84,845.72,0
124,25000.0,12149.43,1023.67,0
125,25200.0,12347.75,989.71,0
127,25600.0,12279.81,856.74,0
129,26000.0,12223.49,1050.13,0
131,26400.0,12294.78,1021.42,0
133,26800.0,12175.4,847.17,0
