Sequence,Time,Acceleration,AngularVelocity,State
0,200.0,1586.28,552.61,0
1,400.0,1571.81,604.4,0
2,600.0,1553.62,811.2,0
4,1000.0,1440.03,847.72,0
5,1200.0,1811.02,1351.59,0
6,1400.0,1859.31,2562.25,0
8,1800.0,2479.92,3918.61,0
11,2400.0,2792.69,9314.02,0
12,2600.0,1249.49,9085.77,0
14,3000.0,4933.49,9519.55,0
15,3200.0,3884.52,11400.66,0
16,3400.0,1734.48,3045.35,0
18,3800.0,3506.47,12883.46,0
20,4200.0,3119.53,13421.63,0
22,4600.0,5893.09,4994.02,0
23,4800.0,2210.08,4928.3,0
24,5000.0,3624.4,4632.69,0
26,5400.0,5587.47,5224.54,0
27,5600.0,8942.76,8703.91,0
28,5800.0,8556.9,8175.22,0
30,6200.0,2096.99,5988.29,0
31,6400.0,6415.49,11847.15,0
32,6600.0,3422.7,9279.92,0
34,7000.0,7933.5,2118.32,0
35,7200.0,4181.1,7640.89,0
36,7400.0,5177.29,3691.71,0
38,7800.0,6004.26,8127.01,0
39,8000.0,7615.78,6752.16,0
40,8200.0,6130.4,9061.97,0
42,8600.0,8670.47,5118.92,0
43,8800.0,6382.86,19315.38,0
46,9400.0,8309.0,5860.02,0
48,9800.0,5825.96,11323.76,0
50,10200.0,6010.7,19737.9,0
52,10600.0,9193.4,24232.48,0
54,11000.0,4165.82,17098.29,0
56,11400.0,4743.26,11907.36,0
59,12000.0,10157.02,18326.99,0
60,12200.0,8374.28,7630.04,0
63,12800.0,6928.6,23559.78,0
65,13200.0,9245.17,3592.21,0
67,13600.0,5077.63,9094.69,0
69,14000.0,11368.38,8934.7,0
71,14400.0,3551.66,8367.34,1
73,14800.0,21697.7,46248.86,1
75,15200.0,23753.86,5382.78,1
77,15600.0,21602.17,1364.1,1
80,16200.0,18425.92,5304.61,1
82,16600.0,17326.08,8521.62,1
84,17000.0,15232.98,2878.03,1
86,17400.0,11139.11,3512.96,1
88,17800.0,9880.16,466.76,1
90,18200.0,10229.03,634.8,0
92,18600.0,10786.62,709.91,0
94,19000.0,10620.47,786.28,0
96,19400.0,10612.14,671.39,0
98,19800.0,10948.33,523.75,0
101,20400.0,10361.04,659.33,0
102,20600.0,10980.89,569.84,0
104,21000.0,11040.51,569.15,0
106,21400.0,11160.37,857.37,0
108,21800.0,10901.69,634.46,0
110,22200.0,11292.79,574.68,0
112,22600.0,11391.75,710.64,0
114,23000.0,10860.81,684.76,0
116,23400.0,11268.23,868.94,0
118,23800.0,10941.36,859.76,0
120,24200.0,10989.34,580.55,0
122,24600.0,11222.86,626.29,0
124,25000.0,11014.06,893.01,0
126,25400.0,11086.01,518.22,0
128,25800.0,11375.57,555.35,0
130,26200.0,11240.3,790.79,0
132,26600.0,10538.79,1143.71,0
135,27200.0,11292.43,500.97,0
137,27600.0,11152.29,834.1,0
139,28000.0,11031.59,606.58,0
143,28800.0,11398.24,596.54,0
145,29200.0,11228.81,830.6,0
147,29600.0,11368.41,540.33,0
149,30000.0,11455.73,641.38,0
