Sequence,Time,Acceleration,AngularVelocity,State
0,200.0,590.35,1154.9,0
1,400.0,657.04,1177.69,0
2,600.0,810.12,1253.07,0
4,1000.0,805.92,1049.54,0
5,1200.0,940.17,1102.61,0
6,1400.0,1200.19,1366.08,0
8,1800.0,879.37,1145.88,0
9,2000.0,1037.96,1212.84,0
10,2200.0,1453.76,1382.79,0
12,2600.0,1938.96,1822.1,0
13,2800.0,2733.34,767.25,0
14,3000.0,2230.16,1559.4,0
16,3400.0,1444.68,4961.2,0
17,3600.0,1281.77,10718.9,0
18,3800.0,562.21,11664.26,0
20,4200.0,2427.12,7234.58,0
21,4400.0,1781.89,4415.57,0
23,4800.0,1298.12,5834.64,0
24,5000.0,2206.93,2625.43,0
25,5200.0,5189.23,3165.88,0
28,5800.0,3379.12,9336.98,0
29,6000.0,6052.81,3287.81,0
30,6200.0,2882.77,4697.41,0
32,6600.0,1332.6,1209.7,0
33,6800.0,8607.88,9339.07,0
34,7000.0,1868.7,9607.4,0
36,7400.0,1613.87,16442.79,0
38,7800.0,2379.3,7877.78,0
39,8000.0,1037.82,3373.1,0
40,8200.0,2229.88,1240.91,0
42,8600.0,2162.13,4670.7,0
43,8800.0,3542.54,12841.63,0
44,9000.0,2875.78,9961.29,0
46,9400.0,689.27,3871.86,0
47,9600.0,4356.88,2663.58,0
48,9800.0,740.49,3099.02,0
50,10200.0,5237.46,7633.16,0
53,10800.0,3887.22,7508.32,0
54,11000.0,10900.76,8672.02,0
56,11400.0,2329.19,4937.47,0
59,12000.0,4691.21,11168.24,0
62,12600.0,2151.43,2462.72,0
63,12800.0,2693.12,10509.39,0
65,13200.0,3015.2,2950.18,0
67,13600.0,5231.8,13405.89,0
69,14000.0,3529.05,6736.58,0
71,14400.0,4183.29,4869.51,0
73,14800.0,3801.26,10137.22,0
74,15000.0,8144.85,12954.79,0
76,15400.0,1809.18,4559.07,0
78,15800.0,3353.82,8370.89,0
81,16400.0,6486.16,5104.47,1
83,16800.0,8959.83,23240.24,1
87,17600.0,27637.69,13545.27,1
89,18000.0,22488.67,1599.42,1
91,18400.0,23915.29,1274.52,1
93,18800.0,24422.01,1089.71,1
96,19400.0,24457.09,910.79,1
98,19800.0,24190.79,1226.15,1
100,20200.0,24340.87,1147.93,1
102,20600.0,24551.39,1045.46,1
104,21000.0,24264.8,1060.56,1
106,21400.0,24479.93,1051.35,1
108,21800.0,24486.35,970.52,1
111,22400.0,24447.93,1113.49,1
113,22800.0,24439.79,1174.79,0
115,23200.0,24555.69,1020.22,0
117,23600.0,24267.23,1046.09,0
119,24000.0,24643.85,1111.71,0
121,24400.0,24598.52,921.65,0
124,25000.0,24470.04,1173.46,0
