Sequence,Time,Acceleration,AngularVelocity,State
0,200.0,2321.58,1606.61,0
1,400.0,2173.9,1117.43,0
2,600.0,3229.93,1540.41,0
4,1000.0,3373.26,1850.32,0
5,1200.0,3134.55,3462.27,0
6,1400.0,2780.3,3588.77,0
8,1800.0,926.85,7819.04,0
10,2200.0,3135.12,8485.72,0
11,2400.0,3868.28,9373.78,0
13,2800.0,1813.02,2626.84,0
14,3000.0,2983.27,5038.64,0
15,3200.0,8675.93,7546.09,0
18,3800.0,5892.0,12657.55,0
19,4000.0,6975.45,12299.25,0
21,4400.0,5500.05,3703.45,0
22,4600.0,5138.42,11433.81,0
23,4800.0,5755.9,8672.54,0
25,5200.0,3490.79,12174.55,0
27,5600.0,3314.27,9059.82,0
28,5800.0,5364.53,10928.93,0
29,6000.0,4191.73,12390.94,0
31,6400.0,8453.76,1984.32,0
33,6800.0,3081.12,2813.41,0
34,7000.0,2474.43,8839.19,0
35,7200.0,10536.52,9218.73,0
37,7600.0,2237.77,6900.51,0
39,8000.0,4144.78,9746.02,0
40,8200.0,4649.81,7827.69,0
41,8400.0,5366.14,6993.49,0
43,8800.0,5477.51,3527.41,0
44,9000.0,5150.83,9855.8,0
45,9200.0,4292.85,5765.27,0
47,9600.0,2584.03,5219.66,0
48,9800.0,6671.15,13653.65,0
49,10000.0,3027.12,3099.24,0
51,10400.0,7484.31,13943.87,0
53,10800.0,1463.89,22284.85,0
55,11200.0,5953.38,14738.99,0
57,11600.0,5330.32,14547.12,0
59,12000.0,1380.88,5117.8,0
61,12400.0,2366.4,5700.95,0
65,13200.0,876.36,6155.57,0
67,13600.0,1955.89,7436.9,0
69,14000.0,3802.17,3603.75,0
71,14400.0,4563.27,8774.63,0
73,14800.0,1844.62,6841.65,0
75,15200.0,7547.22,11921.56,0
78,15800.0,1598.59,8211.44,0
79,16000.0,2186.74,7418.57,0
82,16600.0,725.32,7281.22,0
84,17000.0,2300.8,3810.7,0
85,17200.0,4738.57,11505.69,0
86,17400.0,1980.06,6726.87,0
88,17800.0,2058.61,4234.5,0
90,18200.0,1592.09,5067.05,0
92,18600.0,4524.36,6686.91,0
94,19000.0,3694.45,3599.26,0
96,19400.0,1992.7,11550.94,0
98,19800.0,3288.21,3291.74,0
100,20200.0,917.69,4512.62,0
102,20600.0,3242.18,3715.16,0
104,21000.0,6112.07,11782.37,0
106,21400.0,3139.45,6019.23,0
108,21800.0,4633.63,8707.84,0
110,22200.0,5229.41,3445.09,0
113,22800.0,3580.14,4607.15,0
116,23400.0,5162.18,8075.92,0
118,23800.0,3166.07,8530.04,0
120,24200.0,2563.62,4265.7,0
122,24600.0,2398.24,11382.88,0
124,25000.0,2062.61,14126.94,0
126,25400.0,941.74,11959.76,0
128,25800.0,3629.04,6498.91,0
130,26200.0,3588.01,1781.28,0
132,26600.0,5275.8,3350.42,0
134,27000.0,2633.36,4685.17,0
136,27400.0,3634.15,966.01,0
138,27800.0,4083.0,3932.27,0
140,28200.0,3641.7,12827.65,0
142,28600.0,3743.68,3645.78,0
144,29000.0,5688.52,25412.83,0
146,29400.0,2284.11,12766.59,0
148,29800.0,2566.66,8150.39,0
151,30400.0,1723.51,2172.49,0
153,30800.0,1228.16,1166.42,0
156,31400.0,1431.01,1556.58,0
158,31800.0,2590.56,1350.01,0
160,32200.0,927.23,2223.31,0
162,32600.0,2764.97,3992.81,0
165,33200.0,2687.25,3550.45,0
167,33600.0,1853.04,4311.19,0
169,34000.0,2607.93,5166.69,0
171,34400.0,2912.64,11458.6,0
174,35000.0,6911.31,5533.61,0
176,35400.0,5544.34,6586.63,0
178,35800.0,3048.99,4475.57,0
180,36200.0,3535.24,8989.59,0
182,36600.0,3949.44,12552.86,0
184,37000.0,2038.16,2780.57,0
186,37400.0,320.47,5987.4,0
188,37800.0,987.13,4987.71,0
190,38200.0,3420.22,2196.92,0
192,38600.0,2656.96,6771.68,0
194,39000.0,1057.21,4310.64,0
196,39400.0,3234.16,6980.09,0
198,39800.0,1697.95,2677.57,0
201,40400.0,10968.63,7708.57,0
203,40800.0,2452.77,6335.21,0
205,41200.0,3480.85,12065.43,0
207,41600.0,2112.64,6128.81,0
209,42000.0,1958.01,2438.47,0
211,42400.0,967.37,1582.94,0
213,42800.0,732.03,1285.12,0
215,43200.0,3716.95,2521.73,0
217,43600.0,2931.39,17174.16,0
219,44000.0,6680.27,3361.97,0
221,44400.0,3585.49,8306.91,0
223,44800.0,5101.38,7251.2,0
225,45200.0,7402.9,4894.45,0
227,45600.0,12104.58,14232.97,0
230,46200.0,7539.05,7282.0,0
232,46600.0,9540.33,15552.95,0
234,47000.0,7824.57,12695.42,0
236,47400.0,5561.18,9136.14,1
238,47800.0,9167.94,2496.53,1
240,48200.0,35727.38,32421.6,1
242,48600.0,26355.88,8459.54,1
244,49000.0,20845.29,3033.56,1
247,49600.0,17611.15,2376.23,1
249,50000.0,16561.44,1611.97,1
251,50400.0,18071.8,3986.68,1
253,50800.0,14047.45,5373.41,1
255,51200.0,14685.49,2059.17,1
257,51600.0,17753.58,2069.31,1
