Sequence,Time,Acceleration,AngularVelocity,State
0,200.0,2510.43,5917.14,0
1,400.0,1920.76,4464.03,0
2,600.0,626.2,2300.74,0
3,800.0,2617.86,2249.37,0
5,1200.0,3410.14,6317.52,0
6,1400.0,2925.61,4846.98,0
7,1600.0,3265.14,10809.43,0
9,2000.0,6689.31,13291.83,0
10,2200.0,5311.51,13909.07,0
11,2400.0,2662.54,9006.04,0
13,2800.0,3839.65,18943.1,0
15,3200.0,13192.35,9364.96,0
17,3600.0,5521.64,11562.76,0
20,4200.0,7828.04,16154.7,0
21,4400.0,19225.68,16366.04,0
24,5000.0,3652.6,9105.29,0
25,5200.0,11842.79,15065.92,0
26,5400.0,12973.96,14318.81,0
28,5800.0,5615.38,4554.74,0
30,6200.0,8214.6,17367.97,0
32,6600.0,5643.38,9946.52,0
33,6800.0,3292.51,6517.61,0
34,7000.0,10204.47,5210.31,0
36,7400.0,6754.02,6359.86,0
37,7600.0,4007.14,11986.18,0
38,7800.0,9425.5,7082.06,0
41,8400.0,14359.31,12981.2,0
42,8600.0,3530.04,2468.66,0
44,9000.0,5795.19,10770.51,0
46,9400.0,3742.59,11290.14,0
48,9800.0,3504.16,6735.96,0
49,10000.0,3454.92,12402.97,0
50,10200.0,2144.21,12535.75,0
51,10400.0,5442.14,17703.17,0
52,10600.0,2509.4,21429.09,0
54,11000.0,4641.47,12667.89,0
56,11400.0,1950.11,1975.32,0
59,12000.0,2757.92,5323.91,0
62,12600.0,5862.9,4768.69,0
64,13000.0,8310.19,7505.48,0
66,13400.0,3495.33,9085.3,0
68,13800.0,2146.88,15671.89,0
70,14200.0,3677.66,5819.29,0
73,14800.0,2115.5,11153.01,0
75,15200.0,3662.77,430.89,0
77,15600.0,3496.02,11146.14,0
79,16000.0,5201.83,1087.22,0
81,16400.0,4731.79,1539.37,0
83,16800.0,2320.9,1248.68,0
86,17400.0,2641.87,5471.54,0
87,17600.0,4873.01,4200.75,0
89,18000.0,3822.99,9313.63,0
91,18400.0,914.37,2748.52,0
93,18800.0,3869.83,2020.85,0
95,19200.0,2515.98,1271.52,0
97,19600.0,2892.58,2317.96,0
99,20000.0,1729.44,7052.67,0
101,20400.0,2720.86,4170.23,0
103,20800.0,2913.7,10303.07,0
106,21400.0,1814.97,4049.99,0
107,21600.0,1989.19,2861.4,0
109,22000.0,3023.37,2513.51,0
112,22600.0,3874.27,9629.28,0
114,23000.0,3569.54,3111.58,0
116,23400.0,3909.62,5315.81,0
118,23800.0,5235.32,5334.63,0
120,24200.0,3477.55,7516.37,0
122,24600.0,4217.32,5449.54,0
125,25200.0,5708.64,17670.04,0
127,25600.0,5528.83,8026.76,0
129,26000.0,2324.72,4273.67,0
131,26400.0,2570.51,5365.87,0
133,26800.0,4112.05,981.67,0
135,27200.0,3568.45,1778.61,0
137,27600.0,2736.83,2006.5,0
139,28000.0,2718.95,1627.84,0
141,28400.0,3037.67,1191.17,0
143,28800.0,2239.14,1596.88,0
145,29200.0,2999.42,1345.98,0
147,29600.0,3471.57,1948.79,0
149,30000.0,4847.68,6539.39,0
151,30400.0,3368.53,5764.9,0
153,30800.0,2686.38,14550.79,0
155,31200.0,2017.17,4828.2,0
157,31600.0,6439.33,8922.04,0
159,32000.0,3155.29,5426.1,0
161,32400.0,2016.34,13431.57,0
163,32800.0,2273.15,4987.5,0
165,33200.0,2622.55,13453.98,0
167,33600.0,4264.44,6834.52,0
169,34000.0,4335.29,7696.23,0
171,34400.0,4811.07,1886.48,0
173,34800.0,6739.21,3107.77,0
175,35200.0,828.33,1965.69,0
177,35600.0,2830.64,8155.42,0
