Sequence,Time,Acceleration,AngularVelocity,State
0,200.0,2466.13,4809.4,0
2,600.0,2412.36,4215.32,0
3,800.0,3053.41,4498.04,0
4,1000.0,2723.66,4211.23,0
6,1400.0,3466.66,3064.12,0
7,1600.0,3715.06,2647.12,0
8,1800.0,3960.38,3478.7,0
10,2200.0,3060.28,6888.92,0
11,2400.0,2227.48,10446.32,0
12,2600.0,2782.76,11022.85,0
14,3000.0,3554.2,9226.91,0
16,3400.0,4871.73,3905.6,0
19,4000.0,4407.93,11625.94,0
20,4200.0,559.35,10978.73,0
22,4600.0,4568.67,12639.99,0
24,5000.0,4174.23,6016.1,0
25,5200.0,5569.51,6342.81,0
26,5400.0,9640.35,2095.69,0
28,5800.0,2750.13,8638.49,0
29,6000.0,4701.1,7408.4,0
30,6200.0,11378.39,3294.63,0
32,6600.0,3675.03,8439.28,0
33,6800.0,3502.11,10256.82,0
34,7000.0,1712.58,11082.77,0
36,7400.0,1811.85,4509.7,0
38,7800.0,5763.34,11732.31,0
40,8200.0,2240.09,10889.31,0
42,8600.0,5490.84,8167.97,0
43,8800.0,4550.91,7794.2,0
44,9000.0,3768.54,6539.32,0
46,9400.0,5334.39,9051.43,0
47,9600.0,5800.01,3439.65,0
49,10000.0,1768.1,2256.52,0
50,10200.0,2620.12,14025.38,0
52,10600.0,1200.28,4387.39,0
54,11000.0,3994.39,7745.76,0
56,11400.0,3554.15,7968.37,0
59,12000.0,2863.55,18541.35,0
61,12400.0,2137.02,8291.61,0
63,12800.0,4777.89,8966.15,0
65,13200.0,2494.47,8341.54,0
67,13600.0,5508.36,14748.75,0
69,14000.0,6666.07,19574.05,0
71,14400.0,8025.52,20714.71,0
74,15000.0,6409.18,14598.59,0
76,15400.0,1538.27,4775.4,0
78,15800.0,3944.2,4987.45,0
80,16200.0,6133.07,7258.26,1
82,16600.0,5412.48,7855.79,1
84,17000.0,11081.27,5231.63,1
87,17600.0,9742.71,12530.73,1
90,18200.0,26958.63,19256.01,1
92,18600.0,25023.33,6849.56,1
94,19000.0,23560.32,4028.15,1
96,19400.0,20783.38,4683.97,1
98,19800.0,17191.1,4215.8,1
100,20200.0,12138.84,5374.87,1
102,20600.0,10773.05,6978.34,1
105,21200.0,10293.36,4179.79,0
107,21600.0,12843.41,3773.66,0
109,22000.0,15081.27,7192.63,0
111,22400.0,19625.38,5776.32,0
113,22800.0,15958.67,5361.64,0
115,23200.0,15186.78,4687.47,0
117,23600.0,15726.17,4592.67,0
119,24000.0,16026.65,5124.74,0
121,24400.0,17889.44,4657.4,0
123,24800.0,16540.65,4500.1,0
125,25200.0,16603.55,4445.03,0
127,25600.0,16570.61,4293.73,0
129,26000.0,16527.6,4407.78,0
131,26400.0,16133.04,4641.38,0
133,26800.0,16591.75,4351.45,0
135,27200.0,16723.21,4301.72,0
137,27600.0,16874.67,4583.42,0
139,28000.0,16470.71,4419.0,0
141,28400.0,16856.95,4366.28,0
143,28800.0,16656.17,4571.06,0
145,29200.0,16586.4,4328.71,0
147,29600.0,16722.04,4380.02,0
149,30000.0,16761.68,4568.44,0
151,30400.0,16181.0,4521.77,0
153,30800.0,17101.76,4323.39,0
155,31200.0,16051.79,4309.32,0
157,31600.0,15890.35,4862.26,0
161,32400.0,16120.56,4435.82,0
163,32800.0,15563.74,4546.45,0
165,33200.0,15764.15,4331.74,0
167,33600.0,16154.51,4328.34,0
169,34000.0,15990.88,4586.62,0
172,34600.0,16008.63,4348.48,0
174,35000.0,16347.16,4454.35,0
176,35400.0,16136.83,4582.27,0
178,35800.0,15930.55,4258.51,0
