Sequence,Time,Acceleration,AngularVelocity,State
0,200.0,6607.14,3780.31,0
1,400.0,7054.59,9091.52,0
2,600.0,2842.69,13757.02,0
3,800.0,7756.52,13019.85,0
4,1000.0,5958.92,21263.86,0
6,1400.0,6291.32,5495.88,0
7,1600.0,3519.04,18792.53,0
8,1800.0,6318.29,5256.54,0
10,2200.0,4039.19,12435.01,0
13,2800.0,7302.6,21242.19,0
14,3000.0,10430.71,6997.0,0
17,3600.0,9200.76,22724.12,0
19,4000.0,3839.76,4839.52,0
20,4200.0,10380.35,10256.04,0
22,4600.0,4285.82,5600.67,0
25,5200.0,9057.05,7637.9,0
26,5400.0,7129.39,8421.45,0
27,5600.0,4395.31,4661.78,0
29,6000.0,4652.24,23726.57,0
31,6400.0,9225.4,9486.66,0
32,6600.0,4056.9,7145.53,0
33,6800.0,7766.22,13951.11,0
35,7200.0,6412.03,3712.65,0
37,7600.0,4014.77,6702.52,0
38,7800.0,6774.68,3593.46,0
39,8000.0,3091.21,4765.7,0
42,8600.0,1950.59,3667.5,0
43,8800.0,2092.53,6761.2,0
45,9200.0,6954.26,3672.01,0
47,9600.0,2309.06,2526.9,0
48,9800.0,2703.37,3615.22,0
49,10000.0,2340.72,11316.84,0
52,10600.0,3781.84,3602.76,0
54,11000.0,4189.35,3123.76,0
56,11400.0,1525.43,1935.81,0
58,11800.0,2547.09,3297.24,0
60,12200.0,1562.13,2800.56,0
62,12600.0,1661.83,6437.01,0
64,13000.0,3941.78,8332.5,0
66,13400.0,1821.8,2390.93,0
68,13800.0,3857.93,3114.42,0
70,14200.0,4783.43,1638.17,0
72,14600.0,2482.53,3018.24,0
74,15000.0,2576.38,6005.0,0
77,15600.0,3923.69,2458.71,0
79,16000.0,2387.07,1045.15,0
81,16400.0,2264.55,1682.67,0
83,16800.0,4700.1,1621.73,0
85,17200.0,2306.81,5906.03,0
87,17600.0,2181.43,13767.0,0
89,18000.0,2987.3,995.58,0
91,18400.0,2151.96,1607.51,0
95,19200.0,4722.43,8308.05,0
98,19800.0,4374.7,4329.19,0
99,20000.0,5066.0,3389.97,0
101,20400.0,4673.07,1822.31,0
103,20800.0,5447.71,6089.92,0
105,21200.0,5128.69,2060.38,0
107,21600.0,4813.64,12571.24,0
109,22000.0,5019.24,10070.91,0
111,22400.0,2924.91,5970.32,0
115,23200.0,5483.82,9032.13,0
117,23600.0,2975.43,12466.72,0
119,24000.0,5842.08,13759.87,0
121,24400.0,4917.21,4079.21,0
123,24800.0,2378.97,5353.11,0
125,25200.0,3666.82,1357.4,0
127,25600.0,1392.52,6458.41,0
130,26200.0,947.75,8576.64,0
132,26600.0,1164.25,5486.76,0
134,27000.0,3656.19,3068.44,0
136,27400.0,2492.89,15471.92,0
139,28000.0,4250.39,8597.93,0
141,28400.0,3614.49,19893.41,0
144,29000.0,1620.53,4425.51,0
146,29400.0,2098.57,2247.99,0
148,29800.0,2929.8,2196.05,0
150,30200.0,2320.1,1661.02,0
152,30600.0,3066.41,5399.68,0
154,31000.0,2791.17,9348.42,0
156,31400.0,5472.04,11957.45,0
158,31800.0,2619.22,9992.75,0
160,32200.0,851.03,5930.51,0
162,32600.0,6265.43,8470.4,0
164,33000.0,8348.07,10434.51,0
166,33400.0,8736.33,15465.97,0
168,33800.0,16040.97,15573.15,0
170,34200.0,7839.28,5492.13,0
172,34600.0,7865.77,8091.14,0
174,35000.0,6267.9,12798.96,0
176,35400.0,8941.12,17491.81,0
178,35800.0,13683.71,15222.11,1
180,36200.0,15223.91,43311.33,1
182,36600.0,23451.65,4095.0,1
184,37000.0,22351.95,1579.91,1
186,37400.0,23361.93,2274.18,1
188,37800.0,23923.81,1706.2,1
190,38200.0,24084.95,1530.24,1
193,38800.0,24110.54,1634.26,1
195,39200.0,24155.97,1486.28,1
197,39600.0,24386.26,1491.82,1
199,40000.0,24331.94,1600.02,0
201,40400.0,22053.72,8543.25,0
203,40800.0,13326.42,5643.25,0
205,41200.0,10147.42,7633.74,0
207,41600.0,10788.36,8791.12,0
209,42000.0,10390.7,7831.9,0
211,42400.0,7072.21,2927.66,0
213,42800.0,8279.36,1664.29,0
215,43200.0,9412.76,1415.21,0
217,43600.0,6243.63,5487.42,0
219,44000.0,6930.04,1653.99,0
221,44400.0,7581.17,1438.69,0
223,44800.0,7597.82,1533.31,0
225,45200.0,7559.98,1651.23,0
228,45800.0,7175.57,1506.41,0
230,46200.0,7488.26,1618.49,0
232,46600.0,7247.42,1641.91,0
234,47000.0,7416.77,1468.19,0
236,47400.0,7493.96,1617.26,0
238,47800.0,7184.84,1577.62,0
240,48200.0,7514.28,1458.55,0
242,48600.0,7899.25,1551.85,0
244,49000.0,7462.42,1612.54,0
246,49400.0,7392.84,1481.48,0
248,49800.0,7639.03,1490.69,0
251,50400.0,7553.11,1654.09,0
253,50800.0,7433.41,1556.36,0
255,51200.0,7520.9,1447.12,0
257,51600.0,7515.88,1718.83,0
259,52000.0,7319.93,1532.1,0
261,52400.0,7597.2,1514.74,0
263,52800.0,7672.53,1601.29,0
265,53200.0,7135.27,1489.01,0
267,53600.0,6728.5,3368.75,0
269,54000.0,7486.02,1338.71,0
271,54400.0,7646.62,1570.07,0
