Sequence,Time,Acceleration,AngularVelocity,State
0,200.0,8494.27,23341.89,0
1,400.0,9242.68,12251.33,0
2,600.0,4678.53,5325.72,0
3,800.0,2583.85,3109.47,0
5,1200.0,7254.34,18060.92,0
6,1400.0,7023.96,15906.54,0
7,1600.0,9349.78,21901.86,0
10,2200.0,8238.29,11749.68,0
11,2400.0,9860.31,2339.3,0
13,2800.0,9769.03,13445.48,0
15,3200.0,6398.9,13470.21,0
17,3600.0,7347.86,9659.18,0
18,3800.0,11523.22,6438.53,0
19,4000.0,7212.76,6313.58,0
21,4400.0,5497.04,12497.02,0
23,4800.0,7662.67,9596.97,0
24,5000.0,6732.69,9824.99,0
25,5200.0,3669.16,8712.7,0
27,5600.0,12275.51,8537.71,0
29,6000.0,7077.66,7773.93,0
30,6200.0,3163.29,8195.95,0
31,6400.0,5686.65,12796.13,0
34,7000.0,16022.32,10448.8,0
36,7400.0,4248.21,10289.02,0
37,7600.0,6457.54,15854.44,0
39,8000.0,5276.35,9807.63,0
40,8200.0,4963.02,2561.44,0
41,8400.0,5725.86,8707.92,0
43,8800.0,2328.93,3928.77,0
45,9200.0,5633.32,11879.42,0
46,9400.0,2582.15,3524.02,0
47,9600.0,4206.82,11912.43,0
49,10000.0,1685.45,5587.25,0
51,10400.0,2375.29,16304.08,0
53,10800.0,5234.39,10099.42,0
56,11400.0,1265.83,5818.29,0
58,11800.0,5451.99,13772.83,0
60,12200.0,4162.84,5868.96,0
62,12600.0,2094.53,4122.35,0
64,13000.0,3088.38,6469.97,0
66,13400.0,1518.09,4266.88,0
68,13800.0,4719.53,1900.65,0
70,14200.0,1969.22,2231.8,0
72,14600.0,3741.06,2351.31,0
74,15000.0,3352.24,7849.82,0
76,15400.0,5004.36,13959.88,0
78,15800.0,7501.18,7920.14,0
80,16200.0,1483.67,1427.71,0
82,16600.0,4058.0,2849.52,0
84,17000.0,5606.89,11072.92,0
86,17400.0,1789.28,2833.69,0
88,17800.0,5599.1,2476.52,0
90,18200.0,5834.47,8346.84,0
92,18600.0,4434.22,7565.67,0
94,19000.0,4293.72,13158.2,0
96,19400.0,2511.81,3277.86,0
98,19800.0,4106.26,2675.58,0
100,20200.0,8321.18,2080.35,0
102,20600.0,10242.45,10869.68,0
104,21000.0,5727.51,10505.99,0
106,21400.0,3241.91,6021.93,0
108,21800.0,5846.43,2595.38,0
110,22200.0,2076.47,7923.07,0
112,22600.0,5719.62,7196.94,0
114,23000.0,3121.24,8769.83,0
116,23400.0,5061.2,4888.54,0
118,23800.0,4532.73,2494.53,0
120,24200.0,2501.53,1811.76,0
122,24600.0,2271.51,3024.08,0
125,25200.0,2959.69,1199.17,0
127,25600.0,2989.46,2670.51,0
129,26000.0,5650.65,7132.83,0
131,26400.0,5396.52,4553.0,0
133,26800.0,3857.66,1439.43,0
135,27200.0,2051.29,1553.14,0
137,27600.0,3498.85,7778.81,0
139,28000.0,3074.31,3647.46,0
141,28400.0,2665.82,3504.14,0
143,28800.0,4329.29,12160.8,0
145,29200.0,2359.8,8457.72,0
147,29600.0,3949.9,10730.66,0
149,30000.0,2359.07,5604.93,0
151,30400.0,2738.36,8502.9,0
153,30800.0,4984.98,10775.83,0
155,31200.0,1128.35,4375.24,0
157,31600.0,3662.7,1954.51,0
159,32000.0,2248.96,6742.51,0
161,32400.0,4240.54,2945.76,0
163,32800.0,2556.85,2630.77,0
165,33200.0,3271.53,3134.14,0
167,33600.0,3076.48,8677.39,0
169,34000.0,7145.81,2820.31,0
171,34400.0,8657.82,11556.03,0
173,34800.0,14690.57,4069.6,0
175,35200.0,7392.71,17834.12,0
177,35600.0,5191.76,4819.63,0
179,36000.0,12660.09,9433.82,1
182,36600.0,2784.18,6673.36,1
184,37000.0,15989.34,6847.86,1
186,37400.0,12750.77,31842.79,1
190,38200.0,19736.15,4971.02,1
192,38600.0,16977.78,3790.9,1
194,39000.0,12733.9,3393.93,1
196,39400.0,16883.56,4212.06,1
198,39800.0,15901.72,10912.61,1
201,40400.0,14894.33,1457.2,1
203,40800.0,12442.87,3095.56,1
206,41400.0,10587.79,9768.64,1
208,41800.0,10842.62,4065.62,1
211,42400.0,14997.42,1437.11,1
213,42800.0,13896.18,2115.55,0
215,43200.0,14000.84,1369.37,0
217,43600.0,13899.43,1420.07,0
219,44000.0,13658.4,1616.28,0
221,44400.0,13916.17,1588.18,0
223,44800.0,13876.05,1450.81,0
225,45200.0,13809.62,1597.62,0
227,45600.0,13899.14,1522.15,0
229,46000.0,13747.04,1466.66,0
231,46400.0,13877.17,1331.48,0
233,46800.0,13895.46,1565.07,0
235,47200.0,13768.5,1604.59,0
237,47600.0,13750.1,1345.81,0
239,48000.0,13759.16,1460.96,0
241,48400.0,13792.83,1632.04,0
243,48800.0,13724.05,1621.16,0
245,49200.0,13833.39,1333.85,0
247,49600.0,13823.82,1548.92,0
249,50000.0,13822.96,1396.19,0
251,50400.0,13733.72,1173.39,0
253,50800.0,13611.76,1342.15,0
255,51200.0,13629.71,1654.7,0
257,51600.0,13772.96,1581.73,0
259,52000.0,13719.28,1303.56,0
261,52400.0,13695.5,1319.66,0
263,52800.0,13768.0,1728.91,0
265,53200.0,13748.88,1546.06,0
267,53600.0,13768.34,1267.34,0
